metric,mse_mean,control_mean,paired_delta,relative_change_vs_mse
mean_D,0.024579139444962664,0.020944035103560375,-0.003635104341402291,-0.14789388170167528
p95_D,0.05451879444962459,0.0392459909511569,-0.015272803498467696,-0.2801383202370657
viability_occupancy,0.931240234375,0.9758984375,0.044658203125000004,0.04795562033997842
severe_fraction,9.765625e-06,0.0,-9.765625e-06,-1.0
action_agreement,0.609033203125,0.6356640625,0.026630859374999996,0.04372644913012103
cumulative_task,196.02287097178908,191.12029139843662,-4.902579573352449,-0.025010242677539485
