seed,method,condition,lambda_task,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
3617973549,boundary_aware,moderate,0.01,0.013582742780459513,0.031160950148759258,0.9975,0.0,0.41,182.9645968392014
3617973549,boundary_aware,moderate,0.014,0.016321225468775295,0.03600642420711736,0.9825,0.0,0.4825,184.13563208601184
3617973549,boundary_aware,moderate,0.018,0.019775383614793446,0.04460442161891914,0.975,0.0,0.53,192.8068566963191
3617973549,boundary_aware,moderate,0.02,0.021152630355882118,0.05003437254924161,0.9475,0.0,0.5175,194.52847246638032
3617973549,boundary_aware,moderate,0.022,0.023255471655154424,0.05242064014340611,0.94,0.0,0.525,194.91413928549105
3617973549,boundary_aware,moderate,0.026,0.02819465590263507,0.06183096996325278,0.8675,0.0,0.52,198.06265284400803
3617973549,boundary_aware,moderate,0.03,0.03193905316347958,0.07463911686126183,0.8375,0.0,0.575,201.441815133259
3617973549,boundary_aware,moderate,0.036,0.03937231939970035,0.08998257380064392,0.7275,0.0,0.5675,202.87324389279135
3617973549,boundary_aware,strong,0.01,0.018224221318300544,0.04473827032108196,0.965,0.0,0.42,175.91402833233488
3617973549,boundary_aware,strong,0.014,0.02148298808163722,0.05298153628911126,0.9375,0.0,0.415,185.69602271562843
3617973549,boundary_aware,strong,0.018,0.026933919363310434,0.06389578088583722,0.87,0.0,0.445,187.74362542277527
3617973549,boundary_aware,strong,0.02,0.025956182608622126,0.05933587404719643,0.895,0.0,0.49,192.05527982968653
3617973549,boundary_aware,strong,0.022,0.03233540947393867,0.07435969401261468,0.82,0.0,0.4625,193.21197053257208
3617973549,boundary_aware,strong,0.026,0.03519988803913033,0.08630633103339558,0.79,0.0,0.4775,190.98327868276382
3617973549,boundary_aware,strong,0.03,0.041251956705278106,0.08873589509806136,0.69,0.0,0.455,198.87450795352436
3617973549,boundary_aware,strong,0.036,0.052528344721807896,0.1283534113911316,0.565,0.0025,0.465,202.74148282534435
3617973549,robust_control_aware,moderate,0.01,0.014199704599906897,0.02864596628806215,0.995,0.0,0.49,189.51424532669944
3617973549,robust_control_aware,moderate,0.014,0.0158924333668115,0.03269201028013573,0.99,0.0,0.5,188.60502573450518
3617973549,robust_control_aware,moderate,0.018,0.017969665144423764,0.03402991553000209,0.985,0.0,0.585,191.21232116315508
3617973549,robust_control_aware,moderate,0.02,0.018314655173554337,0.03574153581174505,0.9875,0.0,0.61,191.62415063215047
3617973549,robust_control_aware,moderate,0.022,0.01918714271301982,0.0346629613356362,0.98,0.0,0.6175,191.7608987751821
3617973549,robust_control_aware,moderate,0.026,0.020339182828247534,0.04022718183433399,0.975,0.0,0.56,193.51008040850613
3617973549,robust_control_aware,moderate,0.03,0.02221238549669248,0.04902658659695503,0.9575,0.0,0.4775,193.1580881401428
3617973549,robust_control_aware,moderate,0.036,0.02949289491716863,0.07800749633847875,0.905,0.0025,0.475,196.65300324216346
3617973549,robust_control_aware,strong,0.01,0.014257715394543489,0.03387315133263722,0.985,0.0,0.445,186.09818697076986
3617973549,robust_control_aware,strong,0.014,0.016506972557315636,0.04126440214875369,0.98,0.0,0.505,187.30080356521077
3617973549,robust_control_aware,strong,0.018,0.01921295237234721,0.044698125655278094,0.965,0.0,0.5425,190.66851093889537
3617973549,robust_control_aware,strong,0.02,0.020007845536370895,0.047850142211186185,0.96,0.0,0.5425,194.99164266459465
3617973549,robust_control_aware,strong,0.022,0.022083521332210133,0.0496859005691021,0.95,0.0,0.56,195.1739687962417
3617973549,robust_control_aware,strong,0.026,0.023335720110557803,0.05185385500381412,0.945,0.0,0.555,195.77167031407419
3617973549,robust_control_aware,strong,0.03,0.02687446437433192,0.06142476338211149,0.9025,0.0,0.5275,196.93563714258
3617973549,robust_control_aware,strong,0.036,0.036679570124072344,0.10371086242368763,0.79,0.0,0.4625,198.6828010423822
3796736710,boundary_aware,moderate,0.01,0.013741345212169534,0.03261789501146391,0.985,0.0,0.4575,177.50528090456547
3796736710,boundary_aware,moderate,0.014,0.017832484015498022,0.04405864764798447,0.9675,0.0,0.4875,182.21255092074426
3796736710,boundary_aware,moderate,0.018,0.019829132954255767,0.04783026242702896,0.955,0.0,0.535,184.68671960735907
3796736710,boundary_aware,moderate,0.02,0.022016117233451718,0.053500588091631135,0.935,0.0,0.5325,187.75549405344248
3796736710,boundary_aware,moderate,0.022,0.024248793007668797,0.057202484542574504,0.92,0.0,0.5575,188.6431113470382
3796736710,boundary_aware,moderate,0.026,0.027367865345566945,0.06089014595975091,0.905,0.0,0.5525,188.40446319484096
3796736710,boundary_aware,moderate,0.03,0.031002780413794055,0.06901483197189645,0.85,0.0,0.5425,190.74126534105264
3796736710,boundary_aware,moderate,0.036,0.03789174863554932,0.08477618576697696,0.7575,0.0,0.5825,195.57307143240945
3796736710,boundary_aware,strong,0.01,0.020439179150814488,0.05674293093291345,0.93,0.0,0.425,176.61922937781202
3796736710,boundary_aware,strong,0.014,0.02516508826474026,0.06340724227132756,0.885,0.0,0.45,180.20063023052995
3796736710,boundary_aware,strong,0.018,0.028739975810377974,0.06954430296718786,0.865,0.0,0.46,180.6580827529745
3796736710,boundary_aware,strong,0.02,0.028238184904737715,0.06750648366791545,0.86,0.0,0.4625,181.71200241050823
3796736710,boundary_aware,strong,0.022,0.030397666612339922,0.06793920032825261,0.8325,0.0,0.4575,182.78672798079486
3796736710,boundary_aware,strong,0.026,0.035396523337127894,0.07817940265128978,0.765,0.0,0.4525,183.44921885987503
3796736710,boundary_aware,strong,0.03,0.03980613115339035,0.09204905788761462,0.71,0.0,0.4975,188.97564809161167
3796736710,boundary_aware,strong,0.036,0.04734878235893513,0.09902234104361789,0.6,0.0,0.49,192.76177044992014
3796736710,robust_control_aware,moderate,0.01,0.01468788635509469,0.031138520648878804,0.985,0.0,0.4925,179.49670367158242
3796736710,robust_control_aware,moderate,0.014,0.017163424818861236,0.03514293231657776,0.99,0.0,0.6075,183.4575268965126
3796736710,robust_control_aware,moderate,0.018,0.019039919996700006,0.03790920102459512,0.975,0.0,0.5875,185.6832630518029
3796736710,robust_control_aware,moderate,0.02,0.01925534118844705,0.03757820751359834,0.9775,0.0,0.6375,184.95095479718105
3796736710,robust_control_aware,moderate,0.022,0.02020372385710107,0.0400077193347203,0.9825,0.0,0.635,184.76671027860652
3796736710,robust_control_aware,moderate,0.026,0.022015011274123256,0.044514673170095456,0.9675,0.0,0.5875,185.77287129679377
3796736710,robust_control_aware,moderate,0.03,0.02310542529989977,0.04457444273854596,0.965,0.0,0.5225,189.14168598693539
3796736710,robust_control_aware,moderate,0.036,0.030123847779946682,0.08110577510911159,0.89,0.0025,0.4675,192.7849643836156
3796736710,robust_control_aware,strong,0.01,0.017200425179444197,0.044892832657863285,0.965,0.0,0.4375,179.52834749219414
3796736710,robust_control_aware,strong,0.014,0.02073437984264226,0.0557988226637772,0.9425,0.0,0.4625,180.35860070496983
