seed,method,condition,lambda_task,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
3406612460,boundary_aware,moderate,0.01,0.013794322125670755,0.03489882856366661,0.9875,0.0,0.4425,184.25632196048127
3406612460,boundary_aware,moderate,0.014,0.016044523347275363,0.039598007949643306,0.9775,0.0,0.4875,187.72696618335294
3406612460,boundary_aware,moderate,0.018,0.018106310648637654,0.04018705221370024,0.9775,0.0,0.525,191.45774713285547
3406612460,boundary_aware,moderate,0.02,0.021726900283525533,0.04817553433835412,0.955,0.0,0.48,191.03028781575614
3406612460,boundary_aware,moderate,0.022,0.021907070481318115,0.04681061321493932,0.96,0.0,0.525,194.31760867909065
3406612460,boundary_aware,moderate,0.026,0.026217839686958247,0.05782064007719697,0.9175,0.0,0.55,195.5439267774686
3406612460,boundary_aware,moderate,0.03,0.029469825827733408,0.06155013564383045,0.875,0.0,0.5375,197.87800992196892
3406612460,boundary_aware,moderate,0.036,0.03547128513451269,0.08000684282042507,0.785,0.0,0.55,202.25825953535104
3406612460,boundary_aware,strong,0.01,0.018000812466712056,0.04660169552617369,0.955,0.0,0.385,180.9172413451088
3406612460,boundary_aware,strong,0.014,0.018420512351633774,0.0471053574998378,0.96,0.0,0.445,183.70189865634762
3406612460,boundary_aware,strong,0.018,0.021955811544023807,0.05394497800786045,0.9325,0.0,0.4575,187.40962723821565
3406612460,boundary_aware,strong,0.02,0.022022684080894868,0.05451055228594966,0.935,0.0,0.495,187.34655140078945
3406612460,boundary_aware,strong,0.022,0.025636059192495564,0.06481011023612021,0.915,0.0,0.495,187.37818847173804
3406612460,boundary_aware,strong,0.026,0.026470936186779072,0.06580195770050809,0.9025,0.0,0.46,190.5563465188111
3406612460,boundary_aware,strong,0.03,0.030038466644842665,0.0700859802211271,0.86,0.0,0.4725,193.53277746619995
3406612460,boundary_aware,strong,0.036,0.038061925361119076,0.09011624051238339,0.7575,0.0,0.4425,195.83254844008246
3406612460,robust_control_aware,moderate,0.01,0.0142710349068635,0.029374112746267864,0.995,0.0,0.4575,181.50564145227446
3406612460,robust_control_aware,moderate,0.014,0.015186160221800688,0.03126089809006615,0.99,0.0,0.5125,186.9404107460766
3406612460,robust_control_aware,moderate,0.018,0.017376740946428274,0.034075427984348754,0.98,0.0,0.5825,190.4201435414647
3406612460,robust_control_aware,moderate,0.02,0.01865062795574538,0.03505689855764883,0.9775,0.0,0.5925,190.24319218444856
3406612460,robust_control_aware,moderate,0.022,0.018282583637304513,0.03518397137172931,0.9775,0.0,0.585,188.0883636406096
3406612460,robust_control_aware,moderate,0.026,0.019564515850709237,0.03776479070450817,0.9775,0.0,0.55,191.19183885800823
3406612460,robust_control_aware,moderate,0.03,0.020981846095793788,0.039512237748071194,0.98,0.0,0.4675,190.53341458591282
3406612460,robust_control_aware,moderate,0.036,0.02499169101515456,0.05639884093533514,0.93,0.0,0.4125,196.0814293209134
3406612460,robust_control_aware,strong,0.01,0.013782285598944463,0.03421110738697993,0.985,0.0,0.435,182.83313689871386
3406612460,robust_control_aware,strong,0.014,0.014391596550551698,0.032314883990069,0.985,0.0,0.4975,185.0390404293657
3406612460,robust_control_aware,strong,0.018,0.01637664867802996,0.03496734327259244,0.985,0.0,0.52,186.12576331679148
3406612460,robust_control_aware,strong,0.02,0.01818529598563789,0.04048483898937307,0.9725,0.0,0.5225,189.7417013251088
3406612460,robust_control_aware,strong,0.022,0.017516161622392182,0.03719121181737827,0.985,0.0,0.5725,187.5500475594402
3406612460,robust_control_aware,strong,0.026,0.019116296650047517,0.04272214951270783,0.9725,0.0,0.505,189.35293003693505
3406612460,robust_control_aware,strong,0.03,0.02484695305909589,0.06584579591258238,0.9025,0.0,0.47,191.88625212241087
3406612460,robust_control_aware,strong,0.036,0.028684810918976397,0.08030959420210154,0.8775,0.0,0.365,193.3406378522278
3050864945,boundary_aware,moderate,0.01,0.01498512349351801,0.04107586887332892,0.98,0.0,0.4625,174.15644750225567
3050864945,boundary_aware,moderate,0.014,0.017071109610031655,0.040541931266343,0.98,0.0,0.5025,178.01403072156882
3050864945,boundary_aware,moderate,0.018,0.021243402156970497,0.047982243256808874,0.9575,0.0,0.505,181.51558085193022
3050864945,boundary_aware,moderate,0.02,0.022630535070068788,0.04975614588266418,0.95,0.0,0.525,184.71229237286462
3050864945,boundary_aware,moderate,0.022,0.025888515812794704,0.059106557540914,0.915,0.0,0.5125,190.44934687469154
3050864945,boundary_aware,moderate,0.026,0.03015217530467254,0.06720138028121572,0.84,0.0,0.5225,190.1269321577562
3050864945,boundary_aware,moderate,0.03,0.034453489308263016,0.07932102162071977,0.7925,0.0025,0.535,194.07447439572047
3050864945,boundary_aware,moderate,0.036,0.0440598893444131,0.0992149656543948,0.66,0.0025,0.515,198.9595506469412
3050864945,boundary_aware,strong,0.01,0.02031666436315647,0.04868831124504061,0.9525,0.0,0.415,175.91531998703073
3050864945,boundary_aware,strong,0.014,0.02405954935497271,0.05913922327150763,0.9025,0.0,0.4275,176.22482141698214
3050864945,boundary_aware,strong,0.018,0.026590099548403235,0.06290713126090541,0.9025,0.0,0.455,179.8242075335654
3050864945,boundary_aware,strong,0.02,0.02944607963769088,0.06787988725962335,0.86,0.0,0.4475,181.5845823083667
3050864945,boundary_aware,strong,0.022,0.03351651425370869,0.07834160362733347,0.81,0.0025,0.4875,183.547650768798
3050864945,boundary_aware,strong,0.026,0.03602499645224339,0.07929356111509327,0.755,0.0,0.485,186.5154215405214
3050864945,boundary_aware,strong,0.03,0.041820593444766206,0.09814631772090174,0.7,0.0,0.4625,190.90252220983194
3050864945,boundary_aware,strong,0.036,0.04897960512595599,0.1069228756610922,0.6025,0.0025,0.5,191.80396679468654
3050864945,robust_control_aware,moderate,0.01,0.014927356180021698,0.03138520553576868,0.9825,0.0,0.4425,180.32729833348625
3050864945,robust_control_aware,moderate,0.014,0.017375454330872477,0.03334964824861739,0.9725,0.0,0.5175,184.58948830223116
3050864945,robust_control_aware,moderate,0.018,0.017615686247790325,0.03433093452039094,0.9775,0.0,0.5775,182.892170896996
3050864945,robust_control_aware,moderate,0.02,0.018691955833303603,0.03764613282533161,0.98,0.0,0.605,185.26489419501206
3050864945,robust_control_aware,moderate,0.022,0.01911414718235975,0.0365887208396934,0.965,0.0,0.6025,182.4111689938883
3050864945,robust_control_aware,moderate,0.026,0.02117900957209554,0.04022803256780132,0.97,0.0,0.5775,186.456493238877
3050864945,robust_control_aware,moderate,0.03,0.02344780680104396,0.051762436065949956,0.9475,0.0,0.49,189.32739068255592
3050864945,robust_control_aware,moderate,0.036,0.026580689266707088,0.06017483713922271,0.92,0.0,0.4475,189.4453310098059
3050864945,robust_control_aware,strong,0.01,0.015047868198926562,0.03534255886824959,0.9775,0.0,0.475,176.7469434787451
3050864945,robust_control_aware,strong,0.014,0.016887866898976124,0.03585409617740731,0.98,0.0,0.495,175.98866091741144
3050864945,robust_control_aware,strong,0.018,0.018957114412833855,0.044362604136967625,0.9575,0.0,0.5075,182.55710117289186
3050864945,robust_control_aware,strong,0.02,0.019808856401904613,0.04843399301532647,0.96,0.0,0.54,182.46485760110605
3050864945,robust_control_aware,strong,0.022,0.02107196451084842,0.051729446183883115,0.94,0.0,0.49,185.28871578495733
3050864945,robust_control_aware,strong,0.026,0.02184934199186615,0.04822122001341459,0.9575,0.0,0.49,184.319673396094
3050864945,robust_control_aware,strong,0.03,0.025784000151485856,0.06391201253295635,0.9175,0.0,0.465,189.4730575924114
3050864945,robust_control_aware,strong,0.036,0.030472980170174014,0.07283751742182165,0.85,0.0,0.445,188.9892050162033
3849917754,boundary_aware,moderate,0.01,0.014821411052783912,0.03886149287532045,0.9825,0.0,0.48,188.7921543587466
3849917754,boundary_aware,moderate,0.014,0.017367015656276887,0.039902344369013736,0.985,0.0,0.495,187.5944997772749
3849917754,boundary_aware,moderate,0.018,0.021953484739981998,0.0530515078001396,0.94,0.0,0.505,191.86236069415503
3849917754,boundary_aware,moderate,0.02,0.023031277662188515,0.05415158852602234,0.9225,0.0,0.5175,192.84013247641548
3849917754,boundary_aware,moderate,0.022,0.023792863244244213,0.05509298487569411,0.925,0.0,0.54,193.13164350018562
3849917754,boundary_aware,moderate,0.026,0.030349032581543877,0.07134380181368599,0.86,0.0,0.5475,198.73330932276872
3849917754,boundary_aware,moderate,0.03,0.033929402458355684,0.0768039476179454,0.7875,0.0,0.5575,200.1046669586985
3849917754,boundary_aware,moderate,0.036,0.042924594203738356,0.09476912608899006,0.66,0.0,0.5925,203.41671236651484
3849917754,boundary_aware,strong,0.01,0.02206594822427503,0.058044188257850814,0.9225,0.0,0.4225,186.19856115556524
3849917754,boundary_aware,strong,0.014,0.026500897143644408,0.06587952103389089,0.88,0.0,0.4525,190.39106134179602
3849917754,boundary_aware,strong,0.018,0.0316955608978024,0.07230345254409776,0.8125,0.0,0.4475,193.45523915724442
3849917754,boundary_aware,strong,0.02,0.0323367029512212,0.07727508440525459,0.805,0.0,0.455,192.2415698007084
3849917754,boundary_aware,strong,0.022,0.03627475490734026,0.0853380628050629,0.7575,0.0,0.46,194.46551232106526
3849917754,boundary_aware,strong,0.026,0.04112944235016061,0.09283505675279083,0.6975,0.0025,0.46,198.21109904484788
3849917754,boundary_aware,strong,0.03,0.04818996547188588,0.11676208850853248,0.625,0.0025,0.47,198.43279580050785
3849917754,boundary_aware,strong,0.036,0.058257687211917444,0.1324514807132295,0.52,0.01,0.4975,199.40619269284306
3849917754,robust_control_aware,moderate,0.01,0.014953933518676871,0.030325314258456602,0.9875,0.0,0.455,187.38243037433637
3849917754,robust_control_aware,moderate,0.014,0.017234217665658844,0.03331094945166369,0.9775,0.0,0.535,189.872029692841
3849917754,robust_control_aware,moderate,0.018,0.018617792455827793,0.03604903619009102,0.9775,0.0,0.6375,187.7196241924135
3849917754,robust_control_aware,moderate,0.02,0.019383977557635827,0.03748346707933944,0.98,0.0,0.65,189.63928016696758
3849917754,robust_control_aware,moderate,0.022,0.019208307366460543,0.03736316934114146,0.9725,0.0,0.6225,191.3792888544128
3849917754,robust_control_aware,moderate,0.026,0.022322119712003163,0.044859576304681584,0.9625,0.0,0.6275,192.18201775977545
3849917754,robust_control_aware,moderate,0.03,0.027334101237133535,0.07110652392119511,0.8975,0.0,0.5675,193.62603252863846
3849917754,robust_control_aware,moderate,0.036,0.02940502603992762,0.07463880037501827,0.89,0.0,0.4875,195.3355496861386
3849917754,robust_control_aware,strong,0.01,0.01883610694071346,0.05000907622262922,0.95,0.0,0.4675,184.60106079517928
3849917754,robust_control_aware,strong,0.014,0.02366359062463835,0.07497043197495047,0.9075,0.0,0.465,188.51408100041078
3849917754,robust_control_aware,strong,0.018,0.024415952808052796,0.0664769133445417,0.9125,0.0,0.5525,191.23770964888277
3849917754,robust_control_aware,strong,0.02,0.03052849271552473,0.09443854276545227,0.8325,0.0,0.56,190.8869955618085
3849917754,robust_control_aware,strong,0.022,0.03461993133611121,0.10758731735327687,0.8075,0.01,0.54,195.53199649917227
3849917754,robust_control_aware,strong,0.026,0.03855470886363611,0.10758121903540357,0.74,0.0,0.555,195.41372355039726
3849917754,robust_control_aware,strong,0.03,0.042599578859551776,0.11996301019439189,0.715,0.0,0.565,197.20296892417446
3849917754,robust_control_aware,strong,0.036,0.05623001698341537,0.1453310653703343,0.565,0.0075,0.4925,198.6643118853859
3835095777,boundary_aware,moderate,0.01,0.015289410274742872,0.03713190794139037,0.9825,0.0025,0.425,176.4097452593869
3835095777,boundary_aware,moderate,0.014,0.01673632657243507,0.03845550021931448,0.975,0.0025,0.4825,180.57262450392608
3835095777,boundary_aware,moderate,0.018,0.020613170264135595,0.04961663974113543,0.9525,0.0,0.4925,184.8002937429676
3835095777,boundary_aware,moderate,0.02,0.023574422153906184,0.0565280839244189,0.9175,0.0,0.505,188.14179888170014
3835095777,boundary_aware,moderate,0.022,0.025298742736143156,0.05826053808905038,0.9225,0.0,0.5125,188.35419432405905
3835095777,boundary_aware,moderate,0.026,0.03005386064159242,0.06859463584281836,0.8525,0.0,0.55,192.46891277906778
3835095777,boundary_aware,moderate,0.03,0.033988780847759234,0.0792753067057764,0.785,0.0,0.51,198.04333038520681
3835095777,boundary_aware,moderate,0.036,0.040409833189703315,0.08556087273652568,0.7325,0.0025,0.5475,197.6004918284608
3835095777,boundary_aware,strong,0.01,0.02116188854268801,0.055692798003307876,0.93,0.0,0.3925,174.7958896898277
