seed,mse_mean_D,control_mean_D,delta_mean_D,mse_p95_D,control_p95_D,delta_p95_D,mse_viability_occupancy,control_viability_occupancy,delta_viability_occupancy,mse_severe_fraction,control_severe_fraction,delta_severe_fraction,mse_action_agreement,control_action_agreement,delta_action_agreement,mse_cumulative_task,control_cumulative_task,delta_cumulative_task
221168231,0.024587793626290773,0.021009179307161414,-0.003578614319129359,0.05700130435285692,0.03970110229887914,-0.01730020205397778,0.9325,0.9725,0.040000000000000036,0.0,0.0,0.0,0.61,0.665,0.05500000000000005,192.84015131175045,190.1385735227639,-2.7015777889865547
1920059199,0.024200139536916035,0.020334645724558734,-0.0038654938123573006,0.05065360930501992,0.037181143441834694,-0.013472465863185228,0.9375,0.985,0.04749999999999999,0.0,0.0,0.0,0.5675,0.64,0.07250000000000001,202.1662576955547,195.0355363649428,-7.130721330611891
3950380451,0.0239652760495403,0.020777237504826615,-0.0031880385447136846,0.05269732726167271,0.039568500751290155,-0.013128826510382559,0.9425,0.975,0.03249999999999997,0.0,0.0,0.0,0.635,0.675,0.040000000000000036,196.8854908011674,192.44536162505452,-4.44012917611289
672315199,0.02434780750191177,0.021101031265018052,-0.0032467762368937197,0.05461170397950947,0.03884483391042465,-0.015766870069084823,0.9175,0.9725,0.05500000000000005,0.0,0.0,0.0,0.6225,0.59,-0.032500000000000084,197.8516879811994,191.25915205377214,-6.592535927427264
2227223095,0.025317676465859168,0.022113569040088942,-0.003204107425770226,0.05894538538566684,0.04166983569507338,-0.01727554969059346,0.91,0.96,0.04999999999999993,0.0,0.0,0.0,0.6175,0.6375,0.019999999999999907,193.66814688848206,188.18711204227475,-5.481034846207308
2590384584,0.025828484251691076,0.02172108334798339,-0.004107400903707686,0.05972904165851387,0.03972758947268091,-0.020001452185832963,0.92,0.965,0.04499999999999993,0.0,0.0,0.0,0.5975,0.6425,0.04499999999999993,194.2709555247044,190.75819884530563,-3.5127566793987626
3193779877,0.025210075223620943,0.020360857419798033,-0.00484921780382291,0.05620958644391239,0.03751622847465205,-0.01869335796926034,0.9125,0.99,0.07750000000000001,0.0,0.0,0.0,0.5675,0.62,0.05249999999999999,199.3849775807546,194.27965953603072,-5.105318044723873
670547267,0.02387144772207311,0.01975574645900269,-0.004115701263070419,0.04860451604102982,0.03693617722350894,-0.011668338817520878,0.955,0.985,0.030000000000000027,0.0,0.0,0.0,0.6125,0.6425,0.029999999999999916,201.42174451455935,196.0915220288338,-5.330222485725557
724459465,0.0236611852474876,0.01985690533744131,-0.0038042799100462925,0.05125453805405481,0.03817250668764741,-0.013082031366407398,0.945,0.985,0.040000000000000036,0.0,0.0,0.0,0.58,0.6125,0.032500000000000084,194.55000892083723,190.9795041900888,-3.570504730748439
1956491870,0.025012602499335585,0.02131747074585583,-0.003695131753479755,0.05665636326066792,0.03885638531805335,-0.01779997794261457,0.9225,0.98,0.057499999999999996,0.0,0.0,0.0,0.605,0.59,-0.015000000000000013,197.74344171866983,193.65338676353844,-4.090054955131393
1726372252,0.024858994120534713,0.02016804829824835,-0.0046909458222863624,0.05471804839649702,0.038239692514824564,-0.016478355881672457,0.935,0.985,0.04999999999999993,0.0,0.0,0.0,0.6,0.6475,0.04749999999999999,200.7010047343179,193.9083021421603,-6.79270259215761
3373854246,0.025121553423334716,0.02088381956089859,-0.0042377338624361265,0.05498304570325693,0.03974753740569519,-0.015235508297561741,0.925,0.975,0.04999999999999993,0.0,0.0,0.0,0.615,0.66,0.04500000000000004,196.8153730017399,191.66710293035842,-5.148270071381489
2735511874,0.024096343872569932,0.020865979457230743,-0.0032303644153391896,0.0549635145366345,0.03675934230994405,-0.01820417222669045,0.9375,0.9825,0.04500000000000004,0.0,0.0,0.0,0.6,0.59,-0.010000000000000009,198.76268575644562,193.688746752339,-5.07393900410662
1409247868,0.024731544195064042,0.020927169220775574,-0.0038043749742884686,0.05642509430604135,0.0364081524392006,-0.02001694186684075,0.9225,0.9825,0.06000000000000005,0.0,0.0,0.0,0.61,0.63,0.020000000000000018,200.99879901225768,197.2226858085521,-3.7761132037055916
945526433,0.02421987098502072,0.021230475059322736,-0.0029893959256979824,0.05190929334074115,0.03944463413459461,-0.01246465920614654,0.9325,0.9825,0.050000000000000044,0.0,0.0,0.0,0.6025,0.59,-0.012500000000000067,197.71202096338595,192.83957468314014,-4.872446280245811
898301991,0.024379002460021094,0.020668514835606056,-0.003710487624415039,0.05453664486983022,0.03821899039450005,-0.016317654475330165,0.93,0.9775,0.04749999999999999,0.0,0.0,0.0,0.595,0.645,0.050000000000000044,199.15137358224058,192.33515448224148,-6.816219099999103
2908686384,0.02499301417862884,0.0213188322131941,-0.0036741819654347377,0.058234622412279294,0.04033010840043142,-0.017904514011847873,0.915,0.9675,0.05249999999999999,0.0,0.0,0.0,0.625,0.6,-0.025000000000000022,194.70209502435824,191.19233491993793,-3.509760104420309
703886176,0.022998425784390947,0.020198881154613785,-0.002799544629777162,0.0493857383938383,0.03647940934681465,-0.01290632904702365,0.95,0.9825,0.032500000000000084,0.0,0.0,0.0,0.6225,0.6375,0.014999999999999902,199.10168998823946,197.3507239094822,-1.7509660787572443
2074546300,0.024018153326131535,0.020348201321833653,-0.003669952004297882,0.048998944749299965,0.03750915005179502,-0.011489794697504947,0.9525,0.9875,0.03500000000000003,0.0,0.0,0.0,0.595,0.6425,0.04749999999999999,194.49843458773756,189.9327872477004,-4.565647340037174
277890685,0.023977655479632754,0.020637496477027083,-0.0033401590026056714,0.050569218921040195,0.036994397883742376,-0.013574821037297818,0.9475,0.9775,0.030000000000000027,0.0,0.0,0.0,0.5875,0.635,0.04749999999999999,194.68341414730412,191.70082192710674,-2.9825922201973754
4003261724,0.023699299207590344,0.021027387419095572,-0.002671911788494772,0.05006701736267571,0.03836696763453652,-0.011700049728139185,0.9475,0.975,0.02749999999999997,0.0,0.0,0.0,0.6125,0.675,0.0625,196.27790410946295,189.12038364981998,-7.157520459642967
