seed,method,condition,lambda_task,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
3073857302,robust_control_aware,moderate,0.026,0.0211288961337673,0.0428207481772236,0.9675,0.0,0.53,187.8611793407507
3073857302,robust_control_aware,moderate,0.03,0.0239866233929787,0.0533391549886273,0.94,0.0,0.4775,190.0513738269098
3073857302,robust_control_aware,moderate,0.036,0.0275865687600039,0.0618645832307523,0.915,0.0,0.4675,192.42941389656576
3073857302,robust_control_aware,strong,0.01,0.0153851993522117,0.0380330540771821,0.98,0.0,0.455,176.80248681036846
3073857302,robust_control_aware,strong,0.014,0.0188217335351911,0.0457673534394427,0.9575,0.0,0.48,180.76309933721487
3073857302,robust_control_aware,strong,0.018,0.0206079547148103,0.0463811599242558,0.955,0.0,0.4975,187.74086830784825
3073857302,robust_control_aware,strong,0.02,0.0242002410371315,0.0702394161745492,0.9225,0.0,0.545,188.8830129441262
3073857302,robust_control_aware,strong,0.022,0.0228621093779417,0.0532560338550782,0.945,0.0,0.52,191.88496850620928
3073857302,robust_control_aware,strong,0.026,0.0258258765022982,0.0673436322798667,0.9075,0.0,0.525,192.29350682173995
3073857302,robust_control_aware,strong,0.03,0.0335721309824543,0.0972293174329207,0.825,0.0,0.49,192.8785280722129
3073857302,robust_control_aware,strong,0.036,0.0424785632266116,0.1209503105719219,0.72,0.0,0.49,195.1803706158399
3847042368,boundary_aware,moderate,0.01,0.0145336325618023,0.0384037094442369,0.9725,0.0,0.4575,182.01876504023136
3847042368,boundary_aware,moderate,0.014,0.0164421965896246,0.0426527746623753,0.97,0.0,0.525,185.3399221469691
3847042368,boundary_aware,moderate,0.018,0.0205510358505986,0.050054189652019,0.9475,0.0,0.54,191.285524440094
3847042368,boundary_aware,moderate,0.02,0.0232218737182241,0.0582565406594748,0.92,0.0,0.5275,190.91682169655104
3847042368,boundary_aware,moderate,0.022,0.0252886406244449,0.0618047692893604,0.895,0.0,0.5225,193.2525834066556
3847042368,boundary_aware,moderate,0.026,0.0301593994757754,0.0689348560069464,0.8375,0.0,0.5325,194.9733702186595
3847042368,boundary_aware,moderate,0.03,0.0360025975959253,0.0818750652470563,0.7875,0.0,0.545,197.6940967596496
3847042368,boundary_aware,moderate,0.036,0.044084622409997,0.0976672421206796,0.68,0.0,0.56,205.09884683030356
3847042368,boundary_aware,strong,0.01,0.0211006756428868,0.0572273497502595,0.93,0.0,0.3925,178.3710106637805
3847042368,boundary_aware,strong,0.014,0.0251858124698456,0.0651795247414214,0.8925,0.0,0.425,185.5601183166338
