experiment,method,condition,mean_regret,p95_regret,action_agreement,mean_gap,q1_regret,q1_agreement,q2_regret,q2_agreement,q3_regret,q3_agreement,q4_regret,q4_agreement
E020,boundary_aware,moderate,0.002824336443009777,0.0111940520339224,0.44498106060606063,0.003695147832915069,0.0017861401916063092,0.34981060606060604,0.0023937451769946282,0.3945075757575757,0.003005576117130385,0.449810606060606,0.004111884286307775,0.5857954545454546
E020,boundary_aware,strong,0.004536960047100737,0.01628908781585907,0.35430871212121207,0.003695147832915069,0.0030696433493626594,0.2929924242424242,0.003517661868816946,0.32935606060606054,0.004228390799148623,0.36761363636363636,0.00733214417107473,0.42727272727272725
E020,robust_control_aware,moderate,0.001166279230651775,0.005844095040918089,0.6398674242424243,0.003695147832915069,0.0010172892291483158,0.4263257575757575,0.0013508775250841802,0.5528409090909091,0.001409728784012151,0.684469696969697,0.000887221384362453,0.8958333333333334
E020,robust_control_aware,strong,0.0025701505876750156,0.010781527524181512,0.5073390151515151,0.003695147832915069,0.0018908948349865625,0.3660984848484848,0.0023351715723731914,0.4369318181818182,0.002593514962963194,0.5272727272727272,0.0034610209803771345,0.6990530303030303
E031,boundary_aware,moderate,0.004620669727195101,0.01642610137027733,0.33162878787878786,0.003695147832915069,0.0030214518860022803,0.2882575757575757,0.0036531422108013905,0.3011363636363636,0.004352445830794306,0.32935606060606054,0.007455638981182428,0.40776515151515147
E031,boundary_aware,strong,0.005873357476660706,0.020894414193846887,0.2887310606060606,0.003695147832915069,0.004008972830744016,0.25378787878787873,0.004488402119033961,0.2770833333333333,0.005112506422399507,0.30037878787878786,0.00988354853446533,0.3236742424242424
E031,robust_control_aware,moderate,0.003589460398345297,0.013135617252999355,0.39668560606060604,0.003695147832915069,0.0025116541815562938,0.30151515151515146,0.0032523418520310644,0.3181818181818182,0.003842434732763038,0.3776515151515151,0.0047514108270308,0.5893939393939394
E031,robust_control_aware,strong,0.004948907904133001,0.017104256310357772,0.32504734848484845,0.003695147832915069,0.0034117557520675283,0.2695075757575757,0.00402773595173998,0.2831439393939394,0.004706190977497833,0.32102272727272724,0.007649948935226664,0.42651515151515146
