seed,boundary_taskmatched_D,robust_taskmatched_D,delta
3997641423,0.022796270666120964,0.020978858306863288,-0.0018174123592576766
3406612460,0.02097327256237736,0.018710557894210018,-0.0022627146681673434
3617973549,0.02645972897811975,0.02035278104349659,-0.006106947934623162
3523391129,0.02608403332795059,0.02729481090852237,0.0012107775805717813
3073857302,0.02716024320606234,0.021199050944214377,-0.005961192261847964
3050864945,0.02750479540133119,0.019863462713167346,-0.0076413326881638426
3796736710,0.029589325036352827,0.02702453616358522,-0.0025647888727676066
3741570212,0.027909869769347756,0.023941322684178996,-0.00396854708516876
3847042368,0.026452943332647375,0.025196305914240862,-0.0012566374184065122
3849917754,0.02599012248660067,0.026394455722589086,0.0004043332359884161
3797087792,0.0187151085256661,0.0170586493408592,-0.001656459184806898
3017030364,0.02546812186642316,0.025191914032949014,-0.0002762078334741444
3829224378,0.02456518386728536,0.027246571874317307,0.0026813880070319478
3835095777,0.02916238174618644,0.02532790918884356,-0.0038344725573428787
3459530800,0.02667791832342057,0.02092172617755648,-0.005756192145864088
3252684061,0.02499954612457101,0.022660762912531447,-0.0023387832120395635
3027910210,0.037331659712568785,0.03378739389112574,-0.0035442658214430434
3927768750,0.03117126177220351,0.02536998954885354,-0.00580127222334997
3296825225,0.0241551528014287,0.018319021579684028,-0.005836131221744673
3019128100,0.02879628026983978,0.02794167117456664,-0.0008546090952731393
3415729576,0.025936220479228823,0.022934945675367115,-0.003001274803861708
3869966726,0.028246479348279264,0.025928903279478534,-0.0023175760688007307
3237904162,0.024050701331518064,0.0202331585832,-0.003817542748318064
3303868279,0.024919789368702615,0.024356359805157407,-0.0005634295635452077
3527629668,0.029643100192741426,0.027011875514156354,-0.0026312246785850715
3708585858,0.029418063624386953,0.027421655174491657,-0.0019964084498952962
3263782778,0.028709562946912376,0.0228592710130699,-0.005850291933842476
3305908981,0.02710323460788978,0.022045397055252748,-0.005057837552637032
3087008538,0.02901559940027368,0.0242260745246983,-0.004789524875575379
3853703150,0.022937814610822675,0.02096737866909123,-0.001970435941731446
3979691096,0.030753298212774387,0.03360289994724277,0.002849601734468382
3554958271,0.02979858576827313,0.028478088696969224,-0.0013204970713039076
3008578821,0.024010180664929874,0.020093971545694762,-0.003916209119235112
3825432642,0.026640338092987197,0.02229475226457083,-0.004345585828416366
3133163495,0.021701469616387505,0.018710417791115232,-0.002991051825272272
3223282721,0.024309408886565582,0.021773225901594077,-0.002536182984971505
3015764885,0.022694646437319225,0.020155810392022817,-0.002538836045296408
3146805131,0.023174452729052185,0.017995257965940953,-0.005179194763111232
3279137197,0.02247415973922779,0.019233755456923563,-0.0032404042823042274
3829287145,0.022651050699189237,0.020861382103613837,-0.0017896685955753992
3233603356,0.036993643925376934,0.038823339041078195,0.0018296951157012603
3224262746,0.025619437400345557,0.022019683121962418,-0.0035997542783831396
3334722169,0.027950341337472432,0.025581860849912187,-0.002368480487560245
3165476145,0.025287119888051407,0.021250090039231943,-0.004037029848819464
3430742932,0.029906932041027866,0.02666724071450522,-0.003239691326522645
3376123110,0.027191304699413464,0.022941951140180713,-0.004249353559232751
3601391430,0.024781415641523256,0.022991603628557244,-0.001789812012966012
3949373273,0.02758328433733168,0.021972819469093623,-0.005610464868238057
3740935724,0.023036144533534066,0.020199972160603416,-0.0028361723729306496
3468584905,0.028987995613846525,0.023158455904985775,-0.0058295397088607495
3627869112,0.031230195613537896,0.02917752296650536,-0.002052672647032537
3316506436,0.023918054806832848,0.02066021476522785,-0.0032578400416049987
3791664053,0.020909200726479928,0.017472059540254267,-0.003437141186225661
3844007312,0.02193341342959795,0.0178083007924901,-0.004125112637107849
3505383392,0.03299393201725403,0.03183428883517293,-0.0011596431820810951
3798259255,0.029082950457859837,0.025034025101516685,-0.004048925356343151
3601623917,0.03013073724951469,0.023269765247516252,-0.0068609720019984395
3575360530,0.02714284154977535,0.022443853363787434,-0.004698988185987917
3020961912,0.02212454403420748,0.01830576560743337,-0.003818778426774111
3829334357,0.027043158036568024,0.022239312361421945,-0.004803845675146079
3997385386,0.02581133423830874,0.022921788701474134,-0.002889545536834605
3239878194,0.02932056745431591,0.032073726255893026,0.002753158801577116
3569329013,0.026129565630805048,0.01913162505983955,-0.006997940570965498
3957974096,0.02796751064033875,0.024640123164942247,-0.003327387475396501
3315063384,0.02926895052953858,0.024296787698931288,-0.0049721628306072935
3784839779,0.024502337188926308,0.019006437441831406,-0.005495899747094902
3638658962,0.027039141383898915,0.021662534103775583,-0.005376607280123333
3165536940,0.02489118282208208,0.022158998204545376,-0.0027321846175367044
3334509926,0.036672082544580875,0.03300295708660554,-0.0036691254579753335
3242517335,0.02720395546128721,0.023905589864946033,-0.003298365596341179
3328610740,0.02983405911935718,0.024889045741387443,-0.004945013377969737
3240508356,0.024958895146316856,0.024421751712605997,-0.0005371434337108592
3048398703,0.030240535374321857,0.028657890152903473,-0.0015826452214183842
3359997285,0.02647546566910457,0.021466263393187936,-0.005009202275916634
3454948477,0.024784836181573403,0.01949179596514187,-0.005293040216431535
3468673266,0.03399181595897599,0.035073776504692296,0.0010819605457163053
