seed,condition,boundary_taskmatched_D,robust_taskmatched_D,delta,task_overlap_low,task_overlap_high
3997641423,moderate,0.02013191958562115,0.020875511558947762,0.0007435919733266099,185.32971261626204,192.6081219571899
3997641423,strong,0.025460621746620775,0.021082205054778813,-0.004378416691841959,180.57367517192887,194.7186202022368
3406612460,moderate,0.01867018638574313,0.019063657127233558,0.00039347074149042623,184.25632196048127,196.0814293209134
3406612460,strong,0.02327635873901159,0.018357458661186477,-0.004918900077825111,182.83313689871383,193.3406378522278
3617973549,moderate,0.020389080120093037,0.020324456556140947,-6.462356395208822e-05,188.6050257345052,196.65300324216344
3617973549,strong,0.032530377836146464,0.02038110553085223,-0.012149272305294235,186.09818697076983,198.6828010423822
3523391129,moderate,0.02024788559896862,0.020254441695642406,6.556096673790458e-06,187.40584574990763,197.4241645677528
3523391129,strong,0.031920181056932555,0.03433518012140234,0.002414999064469782,186.54176736137717,199.47857174236952
3073857302,moderate,0.02006966046612193,0.02005162943017871,-1.8031035943218837e-05,182.78789226563387,192.42941389656576
3073857302,strong,0.034250825946002754,0.022346472458250045,-0.011904353487752713,178.9836433852317,195.1803706158399
3050864945,moderate,0.02367654242961879,0.01936335785708692,-0.00431318457253187,180.32729833348623,189.4453310098059
3050864945,strong,0.03133304837304359,0.020363567569247773,-0.010969480803795822,175.98866091741144,189.4730575924114
3796736710,moderate,0.022373457137472123,0.020861359021174287,-0.0015120981162978328,179.49670367158242,192.7849643836156
3796736710,strong,0.03680519293523353,0.03318771330599615,-0.003617479629237386,179.52834749219414,192.7617704499201
3741570212,moderate,0.02178427668625664,0.020908208162696156,-0.0008760685235604834,186.38890121553635,196.7230398419829
3741570212,strong,0.03403546285243887,0.026974437205661835,-0.0070610256467770385,179.4289838400722,197.9230590959482
3847042368,moderate,0.021025308755546354,0.019695625546736813,-0.0013296832088095425,183.1515528166915,195.65537153176888
3847042368,strong,0.031880577909748395,0.03069698628174491,-0.001183591628003486,178.3710106637805,197.04392521054424
3849917754,moderate,0.02050332217557952,0.021792448767957055,0.001289126592377531,187.5944997772749,195.3355496861386
3849917754,strong,0.03147692279762182,0.03099646267722112,-0.0004804601204007002,186.19856115556524,198.6643118853859
3797087792,moderate,0.01746554001138796,0.018484011541112386,0.0010184715297244234,187.19114591341287,194.24882024316008
3797087792,strong,0.019964677039944236,0.015633287140606016,-0.004331389899338224,181.78711408853675,194.02121363512327
3017030364,moderate,0.019527230872915344,0.02197918153319014,0.0024519506602747915,184.7242706270266,195.05123684648132
3017030364,strong,0.031409012859930974,0.02840464653270789,-0.003004366327223089,184.56804375393645,196.38844807003545
3829224378,moderate,0.020017626873094232,0.02336347674001996,0.0033458498669257253,185.03108224834543,197.83426794299635
3829224378,strong,0.029112740861476485,0.031129667008614654,0.002016926147138175,187.65015752348475,200.8563380289807
3835095777,moderate,0.02398450326037372,0.021727405165470094,-0.002257098094903628,180.59471802071624,194.44698551439384
3835095777,strong,0.03434026023199916,0.02892841321221703,-0.005411847019782136,176.96244473035364,190.58525172867613
3459530800,moderate,0.020561152182912268,0.018938429346735,-0.001622722836177262,186.87254235607648,200.50675660950168
3459530800,strong,0.03279468446392887,0.02290502300837796,-0.009889661455550909,187.89724093594575,199.86382368084537
3252684061,moderate,0.021731519371029778,0.020393617400008404,-0.0013379019710213756,182.88183567342577,193.3256887731428
3252684061,strong,0.028267572878112244,0.02492790842505449,-0.0033396644530577584,178.13892849521056,192.72104503736605
3027910210,moderate,0.026585941786356596,0.024250338560262624,-0.002335603226093972,177.1681602440424,188.0439305738773
3027910210,strong,0.04807737763878098,0.043324449221988866,-0.0047529284167921165,172.39284173843188,185.94411376671215
3927768750,moderate,0.025120082752423938,0.019795815467367323,-0.005324267285056613,181.4843701106537,191.1463352112464
3927768750,strong,0.037222440791983086,0.030944163630339756,-0.006278277161643329,177.3780068085984,189.42741218202812
3296825225,moderate,0.021602345237623475,0.019010103118412395,-0.0025922421192110788,188.5934166410776,199.2188335598153
3296825225,strong,0.026707960365233926,0.017627940040955657,-0.009080020324278267,185.51113744562383,196.829533422234
3019128100,moderate,0.023741272529924654,0.021403519067109012,-0.0023377534628156384,184.6638425186508,198.3959189096135
3019128100,strong,0.033851288009754905,0.03447982328202427,0.0006285352722693711,185.21833273928428,198.4300939790271
3415729576,moderate,0.02123034315014942,0.022829417484597502,0.0015990743344480836,187.4515532046005,194.8573114760809
3415729576,strong,0.030642097808308226,0.023040473866136727,-0.007601623942171502,183.51083297102264,195.53541865860203
3869966726,moderate,0.021902055582652798,0.020057556940918844,-0.0018444986417339535,178.13523991702152,186.8885877998518
3869966726,strong,0.03459090311390573,0.03180024961803822,-0.0027906534958675143,173.90184999980383,185.2827586330054
3237904162,moderate,0.018481327208745495,0.018403450521775853,-7.787668696964083e-05,187.7161078877769,198.06270451246505
3237904162,strong,0.029620075454290632,0.022062866644624146,-0.007557208809666489,191.10990232934097,198.45655735172343
3303868279,moderate,0.02295841998852151,0.025483288729581808,0.002524868741060297,190.5468937761065,200.5498962245788
3303868279,strong,0.02688115874888372,0.023229430880733006,-0.0036517278681507163,180.36823407698776,200.08013993959503
3527629668,moderate,0.02233813470489641,0.021034459775698035,-0.0013036749291983776,181.03278266349,196.3022138437252
3527629668,strong,0.03694806568058644,0.032989291252614676,-0.003958774427971754,184.1709145890651,199.44462810952527
3708585858,moderate,0.022513161895335334,0.022327498570329757,-0.0001856633250055738,189.41096576029528,202.23186078991688
3708585858,strong,0.03632296535343857,0.03251581177865356,-0.0038071535747850145,190.019283949295,200.03888205205624
3263782778,moderate,0.024532562369021415,0.020638507417642546,-0.0038940549513788703,180.78462954916344,194.90146953970697
3263782778,strong,0.03288656352480334,0.02508003460849725,-0.007806528916306086,183.1817035514336,191.63857260794248
3305908981,moderate,0.02094753532024387,0.01992598212152763,-0.001021553198716245,181.07476433091009,191.68830654273404
3305908981,strong,0.03325893389553569,0.024164811988977863,-0.009094121906557827,183.3172821676709,191.59196548858037
3087008538,moderate,0.02006404879320153,0.019048046921207398,-0.0010160018719941287,184.4290981095645,200.4507624130773
3087008538,strong,0.03796715000734582,0.029404102128189197,-0.00856304787915663,187.9848987847968,204.2580280004563
3853703150,moderate,0.019157255646092507,0.019925882906208104,0.0007686272601155976,181.73584612179263,188.64234444558824
3853703150,strong,0.02671837357555284,0.022008874431974357,-0.00470949914357849,178.26921249472986,190.50259465456907
3979691096,moderate,0.024271488954126768,0.018867146306502987,-0.005404342647623778,183.5027559572732,197.2545748482772
3979691096,strong,0.037235107471422,0.048338653587982554,0.01110354611656055,183.9423648633588,194.85927269504856
3554958271,moderate,0.020698625891570246,0.02113789302996345,0.00043926713839320523,182.2765137874748,189.02964665571037
3554958271,strong,0.03889854564497602,0.035818284363975,-0.003080261281001022,177.61134385087058,190.46643697783972
3008578821,moderate,0.01935256694288998,0.019111605359434472,-0.000240961583455509,185.00859936742728,195.9184033299038
