seed,experiment,boundary_mean_regret,robust_mean_regret,delta
2825654166,E020,0.00335770157814445,0.0015382576647308,-0.00181944391341365
2742807292,E020,0.0032823373005151,0.0015081661145561,-0.0017741711859589999
2894855845,E020,0.0038208009556090997,0.00222115741214935,-0.0015996435434597498
2733401755,E020,0.003981616841060499,0.0015842711875448,-0.0023973456535156994
2861302546,E020,0.0036588676209597997,0.00198710616702445,-0.0016717614539353497
2573597253,E020,0.0035523623115747,0.0017507423180812502,-0.0018016199934934498
2781169015,E020,0.00431723039669025,0.00181856268668355,-0.0024986677100067
2667909150,E020,0.00304016765321575,0.0017006273159864498,-0.0013395403372293002
2709708980,E020,0.0038920894027270002,0.0015817219793101498,-0.0023103674234168504
2733580940,E020,0.0036123492996089,0.00150297418840195,-0.00210937511120695
2548918344,E020,0.00384678975009375,0.00209882689685065,-0.0017479628532431
2660772115,E020,0.0033067093958798503,0.0015072469772970001,-0.0017994624185828502
2540470214,E020,0.00471049055487525,0.0025910830976897496,-0.0021194074571855006
2766388258,E020,0.00366264939806205,0.0018085425270901998,-0.00185410687097185
2752928385,E020,0.0042366165694681,0.00276685709732025,-0.0014697594721478496
2555514464,E020,0.00352287178556505,0.0021343731405069,-0.0013884986450581499
2694695743,E020,0.004325555685992849,0.0020390327859370998,-0.0022865229000557496
2894316260,E020,0.00397675060998865,0.00164044459030325,-0.0023363060196854
2832467494,E020,0.00368190247820675,0.0023969036128199,-0.0012849988653868502
2743687989,E020,0.0037167724142876998,0.00175761446606065,-0.00195915794822705
2838926281,E020,0.0031227754058103,0.00144125293648765,-0.0016815224693226497
2558385932,E020,0.00364071003622805,0.0020130125455924,-0.0016276974906356502
2736093629,E020,0.003440453211023,0.0018247526244309,-0.0016157005865920998
2544328892,E020,0.00377262684992365,0.00165066472845285,-0.0021219621214708002
2858725238,E020,0.0034155638460419,0.0018613392745546,-0.0015542245714873
2702836891,E020,0.0033548732365786,0.00126284072079325,-0.00209203251578535
2789282674,E020,0.0038336954483263502,0.00156640099047265,-0.0022672944578537003
2705582172,E020,0.0034485592273164,0.0016784904323397,-0.0017700687949767
2715587874,E020,0.0033114831949832,0.00150715786090955,-0.00180432533407365
