seed,experiment,method,condition,mean_regret,p95_regret,action_agreement,mean_gap,q1_regret,q1_agreement,q2_regret,q2_agreement,q3_regret,q3_agreement,q4_regret,q4_agreement
2825654166,E020,boundary_aware,moderate,0.0024494396428517,0.010492865547919,0.4318181818181818,0.0037584696691671,0.0022644201641778,0.1818181818181818,0.0019364662888406,0.4181818181818181,0.0028423144777443,0.4363636363636363,0.0027545576406444,0.6909090909090909
2825654166,E020,boundary_aware,strong,0.0042659635134372,0.0151466673742561,0.3272727272727272,0.0037584696691671,0.0034635425225725,0.1454545454545454,0.0031134741524895,0.2909090909090909,0.0040513330205939,0.3818181818181818,0.0064355043580929,0.4909090909090909
2825654166,E020,robust_control_aware,moderate,0.0010509891109028,0.0055257639867942,0.6318181818181818,0.0037584696691671,0.0007977416445081,0.4181818181818181,0.0013372573872726,0.5272727272727272,0.0012334333402564,0.6909090909090909,0.0008355240715738,0.8909090909090909
2825654166,E020,robust_control_aware,strong,0.0020255262185588,0.0086740647924494,0.5136363636363637,0.0037584696691671,0.0017335257255122,0.3090909090909091,0.0024262529687454,0.4181818181818181,0.0020757456133883,0.5272727272727272,0.0018665805665894,0.8
2825654166,E031,boundary_aware,moderate,0.004400915789766,0.0150953699848359,0.3181818181818182,0.0037584696691671,0.0035255881943556,0.2,0.0029384980899509,0.3090909090909091,0.0039544307914772,0.3454545454545454,0.00718514608328,0.4181818181818181
2825654166,E031,boundary_aware,strong,0.0053061785943762,0.0167962932027876,0.3090909090909091,0.0037584696691671,0.0041329763660143,0.2545454545454545,0.0038109160320224,0.3272727272727272,0.0042140883244048,0.3272727272727272,0.0090667336550634,0.3272727272727272
2825654166,E031,robust_control_aware,moderate,0.0038568360491769,0.0144252176382436,0.4045454545454545,0.0037584696691671,0.002220198238644,0.3272727272727272,0.0028176263070161,0.3454545454545454,0.0044086948784587,0.4,0.0059808247725888,0.5454545454545454
2825654166,E031,robust_control_aware,strong,0.0047555320454571,0.0152844189273661,0.3409090909090909,0.0037584696691671,0.0035564179064552,0.2909090909090909,0.0036367760059306,0.2909090909090909,0.0050550704073831,0.3272727272727272,0.0067738638620596,0.4545454545454545
2861302546,E020,boundary_aware,moderate,0.0025888772335319,0.0120588587110833,0.4954545454545455,0.0038817132635919,0.0015483406345405,0.3090909090909091,0.0024507105648987,0.4545454545454545,0.0027741249081954,0.5272727272727272,0.0035823328264929,0.6909090909090909
2861302546,E020,boundary_aware,strong,0.0047288580083877,0.0166787745073479,0.3681818181818181,0.0038817132635919,0.0036416311361199,0.2363636363636363,0.0040508202119873,0.3636363636363636,0.0045980376643071,0.4,0.0066249430211364,0.4727272727272727
2861302546,E020,robust_control_aware,moderate,0.0011248384100607,0.0061593342570211,0.6681818181818182,0.0038817132635919,0.0008933004507419,0.4181818181818181,0.0013714722283089,0.5818181818181818,0.0018198330004528,0.7272727272727273,0.000414747960739,0.9454545454545454
2861302546,E020,robust_control_aware,strong,0.0028493739239882,0.0130123898186555,0.5454545454545454,0.0038817132635919,0.0025955954034147,0.3090909090909091,0.002283044748917,0.5454545454545454,0.0031323189148037,0.5636363636363636,0.0033865366288173,0.7636363636363637
2861302546,E031,boundary_aware,moderate,0.0046335322612307,0.0155569499887474,0.3363636363636363,0.0038817132635919,0.0029282593752046,0.2909090909090909,0.0040244865930198,0.3272727272727272,0.0044050537623064,0.3272727272727272,0.007176329314392,0.4
2861302546,E031,boundary_aware,strong,0.005941576977195,0.019251411521281,0.2909090909090909,0.0038817132635919,0.0038346777604763,0.2909090909090909,0.0043319405495391,0.3090909090909091,0.0051178611763194,0.2727272727272727,0.0104818284224449,0.2909090909090909
2861302546,E031,robust_control_aware,moderate,0.00416568739172,0.0154479762729464,0.3818181818181818,0.0038817132635919,0.0024121129850968,0.2909090909090909,0.0040722443088048,0.3272727272727272,0.0034784281642382,0.4363636363636363,0.0066999641087402,0.4727272727272727
2861302546,E031,robust_control_aware,strong,0.0049498564160585,0.0168140929631594,0.3454545454545454,0.0038817132635919,0.002992691667372,0.3090909090909091,0.0042295806887906,0.3090909090909091,0.004171534493714,0.4,0.0084056188143572,0.3636363636363636
2709708980,E020,boundary_aware,moderate,0.0028239543818563,0.0101179939782099,0.4272727272727272,0.003513574204373,0.0014292898650735,0.3090909090909091,0.0024863817199944,0.3636363636363636,0.0032047475960188,0.4909090909090909,0.0041753983463384,0.5454545454545454
2709708980,E020,boundary_aware,strong,0.0049602244235977,0.0192393153405051,0.3363636363636363,0.003513574204373,0.0044406982162063,0.2181818181818181,0.0033971324156819,0.3090909090909091,0.0048621200320266,0.3818181818181818,0.007140947030476,0.4363636363636363
2709708980,E020,robust_control_aware,moderate,0.0008281550518508,0.0045824692840419,0.6772727272727272,0.003513574204373,0.0007121581734629,0.4363636363636363,0.0013917596336904,0.5272727272727272,0.0007292546668448,0.8181818181818182,0.0004794477334053,0.9272727272727272
2709708980,E020,robust_control_aware,strong,0.0023352889067695,0.0094602839087963,0.5590909090909091,0.003513574204373,0.0013836348399506,0.3454545454545454,0.001820821849445,0.5272727272727272,0.0017231330594516,0.7272727272727273,0.0044135658782308,0.6363636363636364
2709708980,E031,boundary_aware,moderate,0.0047896915260682,0.0181534850197413,0.3363636363636363,0.003513574204373,0.0032191926045224,0.3090909090909091,0.0039543751935712,0.4,0.0039245253701505,0.2545454545454545,0.0080606729360287,0.3818181818181818
2709708980,E031,boundary_aware,strong,0.0057492496043845,0.0211445955662887,0.3090909090909091,0.003513574204373,0.0057378694074644,0.2,0.0044172116560056,0.4181818181818181,0.0041968461630459,0.2545454545454545,0.008645071191022,0.3636363636363636
2709708980,E031,robust_control_aware,moderate,0.0037408539867928,0.0129478564223113,0.4045454545454545,0.003513574204373,0.0034737942076319,0.2909090909090909,0.0033226414753449,0.3818181818181818,0.0034969574239603,0.3454545454545454,0.004670022840234,0.6
2709708980,E031,robust_control_aware,strong,0.0054562178709101,0.0198314353845823,0.3181818181818182,0.003513574204373,0.004533993425455,0.2545454545454545,0.0044628764587339,0.3818181818181818,0.0042228036064356,0.2727272727272727,0.0086051979930161,0.3636363636363636
2540470214,E020,boundary_aware,moderate,0.0034708406742618,0.0138354807661086,0.4090909090909091,0.0037502390791779,0.0015092232769812,0.4,0.002757569522149,0.3272727272727272,0.0030932470609026,0.4545454545454545,0.0065233228370143,0.4545454545454545
2540470214,E020,boundary_aware,strong,0.0059501404354887,0.0212712201098393,0.3,0.0037502390791779,0.0032515448373963,0.3272727272727272,0.0047022990263234,0.3090909090909091,0.0043915030631427,0.3272727272727272,0.0114552148150924,0.2363636363636363
2540470214,E020,robust_control_aware,moderate,0.0012734398253825,0.0063320908408606,0.5954545454545455,0.0037502390791779,0.0007046974486391,0.4,0.0019631820528173,0.4545454545454545,0.001377054849278,0.6727272727272727,0.0010488249507958,0.8545454545454545
2540470214,E020,robust_control_aware,strong,0.003908726369997,0.0163754565907357,0.3954545454545454,0.0037502390791779,0.0019201410129453,0.3090909090909091,0.0031449023060702,0.3272727272727272,0.0029678792216959,0.4545454545454545,0.0076019829392768,0.4909090909090909
