seed,method,condition,stabilization_loss,survival_steps,success_500,action_agreement,mean_decision_regret,mean_action_gap,first_divergence_step,first_divergence_gap
231250,noise_aware_mse,nominal,9.396476639078237,111,0.0,0.5765765765765766,0.005842750562365677,0.033432395470228166,0,0.012269116282945232
231250,noise_aware_mse,moderate,9.587371259320031,103,0.0,0.5728155339805825,0.02156910637091238,0.04624080963328429,0,0.015683185004404306
231250,noise_aware_mse,strong,10.21613314018352,78,0.0,0.7435897435897436,0.006537005513863939,0.23822662386913057,0,0.018929051890088488
231250,control_aware_rank,nominal,0.00184292842243751,500,1.0,0.838,9.796871122800617e-05,0.0018768879747135233,9,0.0006516492695293565
231250,control_aware_rank,moderate,0.003064543122514115,500,1.0,0.828,0.00013333709982937247,0.002441842460045236,6,6.739639024436628e-05
231250,control_aware_rank,strong,2.666679798818943,391,0.0,0.7519181585677749,0.005346896457895868,0.011278786929868148,0,0.018929051890088488
761934,noise_aware_mse,nominal,9.647259329114972,100,0.0,0.57,0.01981651211154719,0.050184116462279535,0,0.000887257602262265
761934,noise_aware_mse,moderate,9.940125048012105,88,0.0,0.5568181818181818,0.026002412981460412,0.09239715915592175,0,0.00025681931101710284
761934,noise_aware_mse,strong,10.354286289613777,71,0.0,0.5352112676056338,0.03230208636852061,0.06764675617915988,2,0.0030910785481428017
761934,control_aware_rank,nominal,0.003600739638686354,500,1.0,0.918,2.515250529926103e-05,0.0023317128477921304,4,9.29470893180507e-05
761934,control_aware_rank,moderate,6.641854818605525,225,0.0,0.88,0.001842265579530661,0.014168039472683134,0,0.00025681931101710284
761934,control_aware_rank,strong,0.2617393313612912,498,0.0,0.7369477911646586,0.006838900179495712,0.06383446919877354,0,0.00011575588924310834
836971,noise_aware_mse,nominal,9.985342506945063,88,0.0,0.5568181818181818,0.01331541417041338,0.04681384878267744,0,0.0014317275150894926
836971,noise_aware_mse,moderate,8.518502225199395,149,0.0,0.5973154362416108,0.00775902900487418,0.031709215375843466,0,0.0012866669693750374
836971,noise_aware_mse,strong,10.3339404278176,72,0.0,0.6111111111111112,0.04098315849013656,0.11160972506865247,0,0.0014975962559147446
836971,control_aware_rank,nominal,0.004330608269934925,500,1.0,0.838,8.516017925091543e-05,0.0022508718205119346,0,0.0014317275150894926
836971,control_aware_rank,moderate,0.009170830878828296,500,1.0,0.816,0.00033374677436811303,0.0032006737719179035,0,0.0012866669693750374
836971,control_aware_rank,strong,0.1302125589846778,500,1.0,0.69,0.004371148081959551,0.029412642647670868,0,0.0014975962559147446
844739,noise_aware_mse,nominal,10.213241631914718,77,0.0,0.7012987012987013,0.021610558648618165,0.056862685768555375,3,0.006366348084473127
844739,noise_aware_mse,moderate,5.761377689439758,266,0.0,0.6203007518796992,0.01669776594273104,0.04461899883397884,0,0.008765868281121345
844739,noise_aware_mse,strong,9.006345462202278,129,0.0,0.5736434108527132,0.00992313540589046,0.04332869853249291,0,0.010343176728699728
844739,control_aware_rank,nominal,0.01923882146917917,500,1.0,0.752,0.0007535937962142444,0.005404334302980638,12,0.00012782968641093448
844739,control_aware_rank,moderate,3.6803326241700214,349,0.0,0.7994269340974212,0.0014323613634617072,0.01076299491806179,1,0.004240425127478582
844739,control_aware_rank,strong,10.566056422484197,63,0.0,0.7142857142857143,0.009218940113351573,0.04620049253311867,1,0.005837588518799189
740250,noise_aware_mse,nominal,8.864740070435692,138,0.0,0.644927536231884,0.011781812970352112,0.07398306984433532,2,0.016302955084014775
740250,noise_aware_mse,moderate,10.138451989724834,81,0.0,0.654320987654321,0.010143353807335267,0.10220790137927105,2,0.01368153342044455
740250,noise_aware_mse,strong,9.368357633535103,114,0.0,0.6491228070175439,0.00929603099651252,0.061179813338850135,2,0.011901458037944915
740250,control_aware_rank,nominal,0.023915825876541414,500,1.0,0.778,0.00029043158573918254,0.0041374752198158355,5,0.010242138789964342
740250,control_aware_rank,moderate,6.608422240675003,227,0.0,0.7136563876651982,0.007821723385950875,0.020064191693735613,4,0.001680018724536922
740250,control_aware_rank,strong,11.332967292106535,30,0.0,0.5333333333333333,0.10963006387885403,0.2746665063683482,2,0.011901458037944915
878081,noise_aware_mse,nominal,7.153744772376955,211,0.0,0.5971563981042654,0.018547627791121183,0.08638492396710101,0,0.001355428911172428
878081,noise_aware_mse,moderate,8.242478697479575,164,0.0,0.6585365853658537,0.018517320758836962,0.08550226417526267,0,0.0017813169153084278
878081,noise_aware_mse,strong,11.204570297452577,35,0.0,0.5142857142857142,0.05379813427274858,0.06998174708639149,0,0.001649855197962631
878081,control_aware_rank,nominal,0.002471842322586317,500,1.0,0.988,3.0133935032758685e-06,0.0020666880813770784,0,0.001355428911172428
