seed,method,condition,stabilization_loss,survival_steps,success_500,action_agreement,mean_decision_regret,mean_action_gap,first_divergence_step,first_divergence_gap
454587,noise_aware_mse,nominal,1.7351115595494861,440,0.0,0.6022727272727273,0.01235190025125956,0.03855022880318959,2,0.002355454015061341
454587,noise_aware_mse,moderate,7.833821803453507,180,0.0,0.6166666666666667,0.01778128978594745,0.18636743327193214,2,0.0037999742576911933
454587,noise_aware_mse,strong,10.628601748184892,61,0.0,0.6557377049180327,0.011789699293873687,0.2229508213604493,2,0.004705065180391424
454587,control_aware_rank,nominal,0.002796640597150008,500,1.0,0.904,3.6331633893829376e-05,0.0019369809674985303,2,0.002355454015061341
454587,control_aware_rank,moderate,0.0059038300398705995,500,1.0,0.822,0.0001430501368558285,0.0026144903448494378,8,0.0001097146979734745
454587,control_aware_rank,strong,9.278511811943014,117,0.0,0.7863247863247863,0.004465357450920948,0.13542982037442716,4,0.0006404536186360756
954161,noise_aware_mse,nominal,5.694410551456307,273,0.0,0.5970695970695971,0.010842105712698686,0.03895394063977295,2,0.0032769178470416042
954161,noise_aware_mse,moderate,4.9312744444063545,302,0.0,0.6158940397350994,0.008720424268493414,0.04395917728456267,0,0.015083487059905323
954161,noise_aware_mse,strong,8.704634215700743,142,0.0,0.647887323943662,0.008170462827489062,0.11878037860080357,0,0.014381775207110457
954161,control_aware_rank,nominal,0.01002103789360772,500,1.0,0.83,0.00038001861078312013,0.002316404209766804,2,0.0032769178470416042
954161,control_aware_rank,moderate,9.271182628578767,116,0.0,0.6206896551724138,0.006623313302127923,0.01871986119709644,2,0.0038508500978291452
954161,control_aware_rank,strong,9.388927457887673,111,0.0,0.6936936936936937,0.025684247095890542,0.037731082096195495,2,0.003668734037756539
195743,noise_aware_mse,nominal,11.015450333888785,43,0.0,0.6046511627906976,0.007483348450417509,0.08657182531259205,0,0.037261043463561655
195743,noise_aware_mse,moderate,8.963234851552897,129,0.0,0.7054263565891473,0.014101313220044376,0.04007028040770896,0,0.03718527858761417
195743,noise_aware_mse,strong,10.622818650000573,60,0.0,0.5333333333333333,0.05071522227464038,0.101805352456189,0,0.037624775098343395
195743,control_aware_rank,nominal,5.630341700905827,270,0.0,0.6666666666666666,0.009199450701216687,0.028042691604257885,3,0.0027917091786172354
195743,control_aware_rank,moderate,10.457730593273471,68,0.0,0.5735294117647058,0.06449321997552986,0.1430459880822222,0,0.03718527858761417
195743,control_aware_rank,strong,10.457879554507514,68,0.0,0.6470588235294118,0.048732677744393244,0.11276287153011656,0,0.037624775098343395
373183,noise_aware_mse,nominal,6.156332700115221,254,0.0,0.610236220472441,0.010644834580816142,0.05893516742042432,2,0.014724785270178481
373183,noise_aware_mse,moderate,7.5402179987681635,193,0.0,0.5854922279792746,0.008989270687867493,0.05463357365698356,2,0.011708898665487293
373183,noise_aware_mse,strong,9.215444373647898,121,0.0,0.6115702479338843,0.022849112634052315,0.11116510759581538,0,0.04677945824267234
373183,control_aware_rank,nominal,0.02502040760511469,500,1.0,0.846,0.00040189682537260214,0.0039875816023809746,5,0.01821561657601308
373183,control_aware_rank,moderate,0.8037887000654774,471,0.0,0.7515923566878981,0.0024432339947996163,0.01975326432870017,4,0.008627350037908602
373183,control_aware_rank,strong,9.148337160373687,123,0.0,0.6016260162601627,0.01985779372280179,0.05401541142530974,2,0.008005731615503768
464419,noise_aware_mse,nominal,10.230920407415674,77,0.0,0.5584415584415584,0.027444734057565947,0.06383204981428073,0,0.034879661488883315
