seed,method,condition,stabilization_loss,survival_steps,success_500,action_agreement,mean_decision_regret,mean_action_gap,first_divergence_step,first_divergence_gap
430588,noise_aware_mse,nominal,9.055654553910811,126,0.0,0.5952380952380952,0.011090658306631525,0.06771586369377171,1,0.0054441304995395505
430588,noise_aware_mse,moderate,9.928797701175263,89,0.0,0.6067415730337079,0.007825522670744833,0.031012399732945704,0,0.01068754057293839
430588,noise_aware_mse,strong,5.097800766724482,296,0.0,0.6486486486486487,0.0083892054486142,0.06969221623764338,0,0.012124982275694366
430588,control_aware_rank,nominal,0.0071902412326708635,500,1.0,0.796,0.00014617504895335915,0.002895476157469845,2,0.001445639640667424
430588,control_aware_rank,moderate,0.0048248399307662835,500,1.0,0.818,0.00015599135593896235,0.0032729932865350557,1,0.00543832169258068
430588,control_aware_rank,strong,8.209620691607753,162,0.0,0.6851851851851852,0.007413108131440943,0.0379969254464259,1,0.004577417987629362
685336,noise_aware_mse,nominal,5.3439178936753775,283,0.0,0.5653710247349824,0.017745444160943487,0.04503501979093639,2,0.0021970182723296695
685336,noise_aware_mse,moderate,0.354526272342927,500,1.0,0.608,0.010357890975666011,0.06060237181620435,0,0.021257891387819278
685336,noise_aware_mse,strong,9.954886073877123,88,0.0,0.5909090909090909,0.007992573610381857,0.03156719263193705,0,0.023647892409533137
685336,control_aware_rank,nominal,2.708675843820263,395,0.0,0.6936708860759494,0.011531513614631643,0.029108503912695743,4,0.0007163102220160734
685336,control_aware_rank,moderate,0.012865535475598962,500,1.0,0.796,0.00030168417125274694,0.0040906620834378115,3,0.00010752773840812767
685336,control_aware_rank,strong,8.758784544067188,137,0.0,0.7883211678832117,0.0017941124902820778,0.04813744049389719,2,0.0030372142927669547
352734,noise_aware_mse,nominal,1.0662418576527988,467,0.0,0.5974304068522484,0.012101473150655878,0.038263686616438336,8,0.0013577599064152693
352734,noise_aware_mse,moderate,11.01998363499237,43,0.0,0.6046511627906976,0.06263744798876318,0.27429101760654356,4,0.0037059362512345817
352734,noise_aware_mse,strong,11.141927164832579,38,0.0,0.6052631578947368,0.1321633196380451,0.40070312044279033,0,0.00039257025212766083
352734,control_aware_rank,nominal,0.05902775372866101,500,1.0,0.766,0.001570411294087637,0.00848201264489558,6,0.00020706501059179067
352734,control_aware_rank,moderate,2.050541124386854,421,0.0,0.7197149643705463,0.003975784266354845,0.025815003147581023,6,0.001232773112690988
352734,control_aware_rank,strong,3.105236905624021,376,0.0,0.6941489361702128,0.0024846274378812266,0.0427419031079067,3,0.0008380782619626798
650887,noise_aware_mse,nominal,6.823846061649585,223,0.0,0.6053811659192825,0.017183089985835207,0.06426771329215238,0,0.0227051359608336
650887,noise_aware_mse,moderate,9.610742615714274,106,0.0,0.5754716981132075,0.03942779441396026,0.19301353097878154,1,0.010207263331199222
650887,noise_aware_mse,strong,10.70466124798095,57,0.0,0.6491228070175439,0.054857733643718556,0.1372973742956189,1,0.007752532478239309
650887,control_aware_rank,nominal,0.009889118553074755,500,1.0,0.778,0.00023928217628741994,0.0027293731573444385,2,0.004879416853980186
650887,control_aware_rank,moderate,3.469443239815107,366,0.0,0.6010928961748634,0.012401560639398203,0.06928992474317094,2,0.0060524998665043815
650887,control_aware_rank,strong,11.586984909198009,19,0.0,0.631578947368421,0.0132926319178197,0.19060723381334602,1,0.007752532478239309
940007,noise_aware_mse,nominal,3.776835560905755,351,0.0,0.6609686609686609,0.009807114399262337,0.029683302051985813,0,0.023605694081920814
940007,noise_aware_mse,moderate,11.372974391363966,28,0.0,0.5714285714285714,0.055540376162765956,0.1292952270827943,3,0.0018159069436477493
940007,noise_aware_mse,strong,9.851286870404675,93,0.0,0.6021505376344086,0.021350757515138936,0.15562222660257086,6,0.0006061417819158317
940007,control_aware_rank,nominal,0.0032900783114078497,500,1.0,0.968,3.1643317648594014e-05,0.0021926812523231174,2,0.006266228496546164
940007,control_aware_rank,moderate,0.004788729013556794,500,1.0,0.828,0.00013771928544805486,0.0025714146591071154,3,0.0018159069436477493
940007,control_aware_rank,strong,0.9828082527959794,466,0.0,0.6630901287553648,0.008962075229927117,0.04647074162061896,3,0.002385214026631841
977644,noise_aware_mse,nominal,10.467974482194695,68,0.0,0.6029411764705882,0.049683076517791414,0.08496628902100133,0,0.008748700411456915
977644,noise_aware_mse,moderate,4.403970269347015,328,0.0,0.6219512195121951,0.009598184313751415,0.08772979142301383,0,0.011935180130712719
977644,noise_aware_mse,strong,10.266285989544631,76,0.0,0.618421052631579,0.06199301057934893,0.1638250094346002,0,0.01650615315455756
977644,control_aware_rank,nominal,0.0023661791821078344,500,1.0,0.986,8.77761039120746e-07,0.0021788660356745395,2,7.645815717762135e-05
977644,control_aware_rank,moderate,0.05069870760576268,500,1.0,0.776,0.0011552299382251174,0.0063836937769780775,20,0.0013475171582918825
977644,control_aware_rank,strong,0.036436993762327535,500,1.0,0.798,0.0009606797365944486,0.007250613908634564,4,0.0005464635705772214
665908,noise_aware_mse,nominal,10.002428418841928,89,0.0,0.6179775280898876,0.041227959819937335,0.1990331657952921,0,0.008004499146621928
665908,noise_aware_mse,moderate,10.571709350802863,63,0.0,0.6190476190476191,0.01421235159402856,0.07351934852717458,1,0.005299426708412113
665908,noise_aware_mse,strong,10.695262656104758,58,0.0,0.6896551724137931,0.0124040858796241,0.20842660096967683,5,0.000709279269841729
665908,control_aware_rank,nominal,0.007248431948999976,500,1.0,0.796,0.00019110841526346096,0.0029270938213844886,1,0.004682105960794412
665908,control_aware_rank,moderate,0.033029915565760994,500,1.0,0.812,0.0010470813694485567,0.006586092870067358,5,0.0013722583589112405
665908,control_aware_rank,strong,0.16028394911711502,500,1.0,0.71,0.005468290146630792,0.025926929600781162,5,0.000709279269841729
891795,noise_aware_mse,nominal,10.995698605916765,45,0.0,0.5777777777777777,0.06780181805531493,0.19890196179491113,3,4.331076121914801e-05
891795,noise_aware_mse,moderate,10.972549429680067,46,0.0,0.5869565217391305,0.040082958928663336,0.09363237971027803,2,0.001443670868074176
891795,noise_aware_mse,strong,9.607139427767324,104,0.0,0.5769230769230769,0.01966531960585734,0.06442284983211953,2,0.0005729414762063872
891795,control_aware_rank,nominal,7.57719465043351,188,0.0,0.6063829787234043,0.013311493536611272,0.03882386172576825,1,0.0030031343207577166
891795,control_aware_rank,moderate,8.023419196904204,175,0.0,0.6742857142857143,0.009471473784866971,0.16820415397990196,1,0.00665478932087156
891795,control_aware_rank,strong,10.423182958415962,69,0.0,0.6231884057971014,0.079568619272509,0.18062097901872629,1,0.010652954358765551
326120,noise_aware_mse,nominal,2.7273323732876587,399,0.0,0.606516290726817,0.008625150278011036,0.06841973993650825,0,0.006467091033874944
326120,noise_aware_mse,moderate,5.678062977283729,271,0.0,0.6162361623616236,0.018120363812430915,0.05939287100468793,2,0.0045726765409308786
326120,noise_aware_mse,strong,6.356142664827475,241,0.0,0.6390041493775933,0.00648660918931575,0.06690469651803456,1,0.005017813306529647
326120,control_aware_rank,nominal,0.007817870270594827,500,1.0,0.798,0.0001982379913520619,0.0029672806050275104,0,0.006467091033874944
326120,control_aware_rank,moderate,0.004705044902075621,500,1.0,0.868,0.00012924327937632662,0.0029227744593960854,0,0.00366618735172502
326120,control_aware_rank,strong,10.336429321604705,71,0.0,0.6338028169014085,0.008765159718245957,0.03671574327503016,0,0.0016363976707865734
