seed,method,condition,stabilization_loss,survival_steps,success_500,action_agreement,mean_decision_regret,mean_action_gap,first_divergence_step,first_divergence_gap
881870,noise_aware_mse,nominal,6.886965800380948,218,0.0,0.573394495412844,0.007050012421511107,0.03449518846648106,1,0.009708437801631005
881870,noise_aware_mse,moderate,10.097385255897205,83,0.0,0.5542168674698795,0.013994527343805673,0.0712827653380355,1,0.010936215669611185
881870,noise_aware_mse,strong,9.211203812594535,121,0.0,0.5454545454545454,0.02666144271322912,0.09424147214753816,0,0.0186944185213272
881870,control_aware_rank,nominal,0.006346292612926996,500,1.0,0.768,0.00020200340801505812,0.0029721095051410415,1,0.009708437801631005
881870,control_aware_rank,moderate,0.005402759098280461,500,1.0,0.802,0.0002192667170421517,0.0024633128952832903,1,0.010936215669611185
881870,control_aware_rank,strong,0.05394605844195966,500,1.0,0.714,0.0014563161527182105,0.008715775162848195,1,0.01203088954862691
966117,noise_aware_mse,nominal,7.460953604049542,195,0.0,0.5897435897435898,0.015239182071970562,0.04280155391976707,0,0.02026413269140411
966117,noise_aware_mse,moderate,10.647377278288547,59,0.0,0.6271186440677966,0.01070658774178499,0.07961168946234659,1,0.015275057181103894
966117,noise_aware_mse,strong,9.900012792209132,91,0.0,0.6703296703296703,0.008701511556185053,0.07090208375865101,1,0.015264290432823256
966117,control_aware_rank,nominal,0.005153933972757677,500,1.0,0.782,0.0001519512654125282,0.0029297927364270566,3,0.0029466145727301777
966117,control_aware_rank,moderate,8.299730573604702,157,0.0,0.7770700636942676,0.002840784800816897,0.041230664652786866,3,0.005157958949930009
966117,control_aware_rank,strong,0.06187438109589711,500,1.0,0.772,0.0015088586544510436,0.009479306680355194,3,0.0068463246464340495
498154,noise_aware_mse,nominal,0.23432114982702618,500,1.0,0.592,0.006687916139549808,0.02423492062394439,1,0.005627309155946395
498154,noise_aware_mse,moderate,10.159681300662136,79,0.0,0.5949367088607594,0.0073053760910901855,0.05874289760382337,2,0.001369162688001504
498154,noise_aware_mse,strong,11.261541996471866,33,0.0,0.5454545454545454,0.01846558248179888,0.05486254824586,2,0.0012697991974224953
498154,control_aware_rank,nominal,0.007195758451684417,500,1.0,0.78,0.0001964891461264479,0.002931291772016417,2,0.0012237189517149026
498154,control_aware_rank,moderate,0.006558157417212968,500,1.0,0.834,0.00019165862446020773,0.0034858093425686604,2,0.001369162688001504
498154,control_aware_rank,strong,5.690670563932035,268,0.0,0.6753731343283582,0.005190306150974578,0.03756645946273945,2,0.0012697991974224953
307073,noise_aware_mse,nominal,5.350634862376045,285,0.0,0.6140350877192983,0.008482150998501472,0.04771657700756008,2,0.001983221655727032
307073,noise_aware_mse,moderate,10.61282738280034,61,0.0,0.6229508196721312,0.010621690531890734,0.08826684362430749,1,0.0020237726167483365
307073,noise_aware_mse,strong,2.9471454268256863,387,0.0,0.648578811369509,0.007536399973458964,0.07893821237180942,3,0.0017098560217025192
307073,control_aware_rank,nominal,0.013207997491623462,500,1.0,0.758,0.000579035089563407,0.0028786785558211022,3,0.0006342507058177231
307073,control_aware_rank,moderate,0.014760934726955499,500,1.0,0.816,0.00039517261305237585,0.005497965753468062,1,0.0020237726167483365
307073,control_aware_rank,strong,5.898752002326112,261,0.0,0.6360153256704981,0.007723674301210928,0.04151194845747847,3,0.0017098560217025192
604816,noise_aware_mse,nominal,9.065894361341103,126,0.0,0.6031746031746031,0.01105278712231051,0.12374192521130964,0,0.03001294525237891
604816,noise_aware_mse,moderate,11.15437470474453,38,0.0,0.631578947368421,0.01708670565855607,0.11709220820378001,0,0.03531549458008582
604816,noise_aware_mse,strong,11.444406360454774,25,0.0,0.64,0.019853742872463127,0.14832603941765984,0,0.038583401959180204
604816,control_aware_rank,nominal,0.004554485180388875,500,1.0,0.924,3.200243433558593e-05,0.002456303629007153,3,0.00394060535978703
604816,control_aware_rank,moderate,0.004656681854439053,500,1.0,0.866,0.00011258501688910331,0.00265185175507092,3,0.004784723388731569
604816,control_aware_rank,strong,3.5100807468354334,357,0.0,0.7871148459383753,0.0054382693351534865,0.01799647613201692,3,0.005640005235059829
712443,noise_aware_mse,nominal,10.203057177928688,77,0.0,0.5584415584415584,0.025841080939401316,0.11072720934768884,2,0.0007601750171394792
712443,noise_aware_mse,moderate,10.18087712454373,78,0.0,0.5769230769230769,0.027386669063008212,0.06642642241965427,2,0.002134254015052687
712443,noise_aware_mse,strong,11.252582557042969,33,0.0,0.5454545454545454,0.015076891342125023,0.11776789814992086,1,0.006788265678681689
712443,control_aware_rank,nominal,0.003996341923289573,500,1.0,0.904,6.348047959987114e-05,0.0023135824389795435,1,0.006645765877700455
712443,control_aware_rank,moderate,9.808490664836429,93,0.0,0.8064516129032258,0.004254180276980286,0.02874812706944139,1,0.0067545841447246395
712443,control_aware_rank,strong,3.0734349265781624,378,0.0,0.7116402116402116,0.007373220933563945,0.023419265555914802,1,0.006788265678681689
743015,noise_aware_mse,nominal,3.646570180465106,359,0.0,0.5933147632311978,0.014324724187017026,0.03811651989135209,1,0.006903306405365017
743015,noise_aware_mse,moderate,6.672246434814886,230,0.0,0.6173913043478261,0.021345035562200357,0.13220873047580647,6,0.0013990723281896815
743015,noise_aware_mse,strong,7.757737252037573,183,0.0,0.6830601092896175,0.009001386959405873,0.06062974770232878,7,0.007959769916454765
743015,control_aware_rank,nominal,0.004731107050020938,500,1.0,0.854,0.00010644757081417768,0.002211425933712352,0,0.01403620653051374
743015,control_aware_rank,moderate,0.011488343445062374,500,1.0,0.816,0.00023163335564587806,0.003805950736624483,1,0.007422074737026961
743015,control_aware_rank,strong,10.077283196443865,84,0.0,0.6428571428571429,0.011409099196417983,0.05769775035167721,12,0.02735190563633385
479977,noise_aware_mse,nominal,8.826791214812776,138,0.0,0.6521739130434783,0.010824392661456248,0.14232649335666742,1,0.0033457190969564815
479977,noise_aware_mse,moderate,9.05067901577497,126,0.0,0.5634920634920635,0.018362234419842055,0.03529885218997822,0,0.003240354615080236
479977,noise_aware_mse,strong,6.978187188037583,214,0.0,0.5794392523364486,0.01742281800063583,0.04911811892855634,0,0.0038482353064186216
479977,control_aware_rank,nominal,0.008593934294152044,500,1.0,0.884,0.0002614986098355754,0.002561118804794445,1,0.0033457190969564815
479977,control_aware_rank,moderate,0.0265000953282043,500,1.0,0.774,0.0010379626648450283,0.005203726705506856,0,0.003240354615080236
479977,control_aware_rank,strong,10.44580884331185,68,0.0,0.6617647058823529,0.02586312663315715,0.07846084100580766,0,0.0038482353064186216
515792,noise_aware_mse,nominal,4.578777269943109,318,0.0,0.5849056603773585,0.012108964595697064,0.03910629875412335,3,0.00040688917962155994
515792,noise_aware_mse,moderate,9.342216569100904,114,0.0,0.6228070175438597,0.02232824657132958,0.06538234165598478,3,0.001207167572450078
515792,noise_aware_mse,strong,4.913696599442164,302,0.0,0.5993377483443708,0.010803147439717298,0.040362976832807866,4,0.0020875501176317954
515792,control_aware_rank,nominal,0.00255883316226532,500,1.0,0.942,1.643591316480175e-05,0.0020132041204571575,12,0.0005010168075924677
515792,control_aware_rank,moderate,0.00391668747919467,500,1.0,0.874,9.806782534359178e-05,0.0027585016850785894,10,0.001081124625506089
515792,control_aware_rank,strong,9.373867751321292,111,0.0,0.8288288288288288,0.0035300464978217506,0.014719912404720722,6,0.0005810855548595401
