seed,method,condition,stabilization_loss,survival_steps,success_500,action_agreement,mean_decision_regret,mean_action_gap,first_divergence_step,first_divergence_gap
432114,noise_aware_mse,nominal,7.558394460794756,191,0.0,0.6178010471204188,0.013499609221941029,0.04878356617688381,0,0.008660225564464129
432114,noise_aware_mse,moderate,11.34170652931817,30,0.0,0.5333333333333333,0.10111154141472119,0.17721725736075616,0,0.011303378592968497
432114,noise_aware_mse,strong,11.431186861097286,26,0.0,0.5,0.20528056892545812,0.37059079745496243,0,0.012811504713767345
432114,control_aware_rank,nominal,0.006940736289937405,500,1.0,0.758,0.00021419500931996465,0.003219992910157689,1,0.005420375534461213
432114,control_aware_rank,moderate,0.004336274576658926,500,1.0,0.846,0.00012151658306907004,0.0023997690454006697,2,0.0028472888731398797
432114,control_aware_rank,strong,3.0949792482614837,373,0.0,0.8096514745308311,0.00844719780396415,0.013693649308430304,2,0.004744471715896672
265348,noise_aware_mse,nominal,8.97352131621327,132,0.0,0.6060606060606061,0.03223494666385121,0.08619531320106355,0,0.0010394283344316926
265348,noise_aware_mse,moderate,9.371131918395806,113,0.0,0.5929203539823009,0.012584499943347888,0.055248907402973044,0,0.0009956000597235795
265348,noise_aware_mse,strong,8.26269873700056,161,0.0,0.6024844720496895,0.008944620140127186,0.06025217919437857,0,0.0009285721332177935
265348,control_aware_rank,nominal,0.003754227197509093,500,1.0,0.84,9.519628209321888e-05,0.002310765134027279,0,0.0010394283344316926
265348,control_aware_rank,moderate,4.899469109740236,300,0.0,0.7966666666666666,0.0027822286014266536,0.027630470667603973,0,0.0009956000597235795
265348,control_aware_rank,strong,9.489202409078928,109,0.0,0.6513761467889908,0.015068427104061996,0.08101325645232692,0,0.0009285721332177935
252109,noise_aware_mse,nominal,7.107279830617527,211,0.0,0.6161137440758294,0.009950849328826639,0.04127786747752377,0,0.006367588925876114
252109,noise_aware_mse,moderate,10.029891931309017,86,0.0,0.5813953488372093,0.02969027788891802,0.08269188606778619,0,0.006856357081664885
252109,noise_aware_mse,strong,10.92652770998222,48,0.0,0.6458333333333334,0.014272978051427748,0.10906645394226207,0,0.007213103521411787
252109,control_aware_rank,nominal,11.75452099155976,12,0.0,0.5,0.02769773354818191,0.19863076028738683,0,0.006367588925876114
252109,control_aware_rank,moderate,0.007065290195511022,500,1.0,0.87,0.00017060270347923768,0.0029447058120731853,0,0.006856357081664885
252109,control_aware_rank,strong,8.607204478515495,145,0.0,0.6758620689655173,0.006383411837049802,0.11350122170566328,0,0.007213103521411787
547005,noise_aware_mse,nominal,0.16365757052595942,500,1.0,0.598,0.004718017674233748,0.016929291994332962,1,0.002187473839758914
547005,noise_aware_mse,moderate,5.624470414192501,277,0.0,0.6173285198555957,0.019720269052923855,0.12417666043327254,1,0.001704828544636692
547005,noise_aware_mse,strong,9.691789147031738,100,0.0,0.61,0.011006159753818783,0.06743335363286002,1,0.0016611313016139228
547005,control_aware_rank,nominal,0.014540257799984585,500,1.0,0.762,0.00042039419883150707,0.0036748151470853054,1,0.002187473839758914
547005,control_aware_rank,moderate,0.06246831227346049,500,1.0,0.766,0.001378944314306359,0.0075638828735361055,1,0.001704828544636692
547005,control_aware_rank,strong,11.563444922477185,20,0.0,0.5,0.08087356950527522,0.17110074809305273,1,0.0016611313016139228
453945,noise_aware_mse,nominal,0.15719301073064013,500,1.0,0.612,0.004746631345749991,0.01811897863311679,1,1.6747499796597454e-05
453945,noise_aware_mse,moderate,7.4168513419085915,196,0.0,0.6632653061224489,0.007331625024428853,0.06302651826238623,2,0.004625783290512289
453945,noise_aware_mse,strong,11.681447580445774,15,0.0,0.6,0.023045556225922494,0.2387252210080968,2,0.006119353594885553
453945,control_aware_rank,nominal,0.0027378098403899403,500,1.0,0.84,5.0270968783447525e-05,0.0019642673645511024,1,1.6747499796597454e-05
453945,control_aware_rank,moderate,0.07659388428401502,500,1.0,0.726,0.00192433069054731,0.010138833494665402,3,0.0009734276537688711
453945,control_aware_rank,strong,11.15310466866472,37,0.0,0.7837837837837838,0.00974341733956064,0.06771776619423805,3,4.94058319343326e-05
533869,noise_aware_mse,nominal,9.555314955944661,104,0.0,0.5480769230769231,0.0070633510773293155,0.05033068622841363,0,0.012201131985303433
533869,noise_aware_mse,moderate,11.10926135467693,40,0.0,0.65,0.0742067476082692,0.23470337590725912,0,0.011958512511432418
533869,noise_aware_mse,strong,10.413544585119803,69,0.0,0.5797101449275363,0.0104334136608024,0.03750939834963215,0,0.012118686707024755
533869,control_aware_rank,nominal,0.001773513637373903,500,1.0,0.848,7.69419187936328e-05,0.001866416680025595,2,0.0024658839114350926
533869,control_aware_rank,moderate,0.003642278618871291,500,1.0,0.792,0.0001481650818793036,0.0026078098177338706,9,0.0004883220364551993
533869,control_aware_rank,strong,0.07836844412235018,499,0.0,0.779559118236473,0.0011739616666236203,0.011782711378884127,13,0.0013843163974876192
756981,noise_aware_mse,nominal,5.86028930045014,262,0.0,0.6259541984732825,0.015829470746802483,0.040686288532302904,0,0.01401583250698929
