seed,mse_mean_D,control_mean_D,delta_mean_D
826101762,0.0223726792477675,0.021191016626424836,-0.0011816626213426648
88706269,0.023369229155365705,0.022446299211683937,-0.0009229299436817676
1123914361,0.022688454691755386,0.021391867165519232,-0.0012965875262361537
1681658530,0.0223780110278344,0.021994752645144933,-0.0003832583826894678
1294640583,0.0239723066700253,0.021560804153604264,-0.0024115025164210373
692964765,0.02240806855546695,0.022026313686509022,-0.00038175486895792796
217731170,0.0231374150117553,0.022045625948112955,-0.0010917890636423441
791006014,0.023201555589982076,0.022970124496391856,-0.0002314310935902196
529637273,0.022677577512830595,0.021318312209533306,-0.0013592653032972885
1781910839,0.022947782107833232,0.02162776293619095,-0.0013200191716422824
280357653,0.022224307865094318,0.021083102667398927,-0.0011412051976953906
991786082,0.022793108664238025,0.021696232736388977,-0.0010968759278490482
55475422,0.02191575546546969,0.02166009079282679,-0.0002556646726428989
1915794536,0.022655156521150747,0.0219058169071785,-0.0007493396139722462
1417772135,0.0231500806100137,0.021599066148991115,-0.0015510144610225846
764448740,0.02139991771114693,0.02052256950652238,-0.00087734820462455
968395875,0.021517358057041268,0.020302602003071192,-0.0012147560539700758
937161708,0.022308914966417542,0.020628429085343184,-0.0016804858810743582
628296280,0.021980552465341693,0.02120349936250548,-0.0007770531028362115
988177621,0.022457677854975065,0.021851749652454712,-0.0006059282025203533
1883337971,0.023003754147019537,0.02266914887668031,-0.0003346052703392284
1159050931,0.022787340930127683,0.02139847218006741,-0.0013888687500602723
324249374,0.021962447016965845,0.02177671165716304,-0.00018573535980280498
372625905,0.02398284344899709,0.022101909860999518,-0.001880933587997572
849150165,0.023208018341646083,0.022288209152879768,-0.0009198091887663157
1729745072,0.022262153145647164,0.021901394578005204,-0.00036075856764196043
174015626,0.022506262632943672,0.02086585712822269,-0.0016404055047209813
1954316548,0.022946583579167668,0.023157817739282615,0.00021123416011494672
1230344216,0.02244708345129912,0.021021903757886307,-0.001425179693412812
1279738591,0.02222381634428121,0.021558612675430845,-0.0006652036688503671
586651730,0.023102962361000085,0.022583806591903267,-0.0005191557690968178
1276865964,0.022102187733182996,0.021524674047962166,-0.0005775136852208297
822443271,0.02253743546361618,0.021962329970659392,-0.0005751054929567893
789175025,0.022755465574263632,0.021563297217039753,-0.0011921683572238793
20100105,0.021525998664177745,0.02076011957213022,-0.0007658790920475264
1085230552,0.022852815636945075,0.022287854598250317,-0.0005649610386947584
1624362658,0.02284704979228861,0.021949897709439288,-0.0008971520828493229
347344115,0.0226269258003992,0.021290888181240922,-0.0013360376191582785
312356725,0.022462811594041864,0.020488406033286402,-0.0019744055607554614
861444438,0.022663006198767634,0.021660348868425654,-0.00100265733034198
451615936,0.022046412148220923,0.021436596602659952,-0.0006098155455609711
364627971,0.021106393814567116,0.020821199024295214,-0.0002851947902719025
1066210165,0.02230945727868705,0.02229477005349076,-1.4687225196291509e-05
526140442,0.02380434807925087,0.022742294875295846,-0.0010620532039550233
695473956,0.022235546162522137,0.02228670710758337,5.1160945061232144e-05
318877659,0.023167663096658332,0.021597917432577135,-0.0015697456640811971
1094219417,0.023300143424966103,0.021842912257053947,-0.0014572311679121562
879352487,0.023222092296306167,0.021398040343999565,-0.0018240519523066018
398454263,0.022528169329347075,0.02177629194225851,-0.0007518773870885641
784192818,0.023204597573264145,0.02075969264363791,-0.002444904929626235
1046211621,0.02114200131086653,0.021017855235697228,-0.0001241460751693034
210954659,0.022750998011897693,0.02139004031604451,-0.0013609576958531835
924011995,0.022287309399645686,0.020718486875675204,-0.0015688225239704826
1569944101,0.022921905855420165,0.022076794901146515,-0.0008451109542736493
34530379,0.023280379034774742,0.022179122441862563,-0.0011012565929121795
1189536803,0.02203034817817765,0.020704980141932214,-0.0013253680362454376
154654513,0.022771429585029992,0.021518623435213442,-0.0012528061498165502
1186748899,0.022546199821514786,0.022090066167930727,-0.00045613365358405933
308475090,0.02306699398211647,0.02166523627214953,-0.0014017577099669394
213098712,0.022975349764795892,0.021934265837018904,-0.0010410839277769889
1245982552,0.024327040578950698,0.023868326525012393,-0.00045871405393830417
1357267527,0.021671701254550646,0.02124313527029284,-0.000428565984257806
618033463,0.024188651676077408,0.02231292741405623,-0.0018757242620211778
1140963883,0.022924249433352695,0.02103785756005172,-0.0018863918733009744
160725159,0.02256850222381155,0.02218253023428482,-0.00038597198952673023
233590814,0.022536260046335507,0.02225029926332021,-0.00028596078301529673
422435281,0.0234128465576529,0.021825208711537994,-0.0015876378461149067
1930269405,0.024158332516998504,0.022694734440862358,-0.001463598076136146
1467373226,0.022974872142499717,0.021603856311465733,-0.0013710158310339844
1251018961,0.021605830858068373,0.02128946903836094,-0.0003163618197074315
41281430,0.021474640713426224,0.021166850301712038,-0.0003077904117141858
545828479,0.02172312420916942,0.021052832772016198,-0.0006702914371532233
1955614470,0.02353616696653381,0.02192279605027681,-0.0016133709162570002
157692879,0.02293066581666211,0.021457648533035174,-0.0014730172836269345
518339255,0.022409607807939033,0.02194791250114985,-0.0004616953067891824
1486440433,0.022453061188327697,0.021052047178055533,-0.001401014010272164
1747933378,0.023165773512726688,0.021689742785631242,-0.001476030727095446
1418466092,0.022759769776670286,0.02161619528433489,-0.001143574492335396
1624805152,0.02240789085511569,0.022276792380011984,-0.000131098475103706
1375966000,0.022963929513480662,0.02217406712459857,-0.000789862388882092
1687551834,0.022357813192074624,0.02223688476151441,-0.00012092843056021527
531449467,0.022670115046839488,0.02080337019731579,-0.001866744849523698
918088976,0.021905472233595305,0.022157618507813625,0.0002521462742183199
781073890,0.02172929930798911,0.020713634775212538,-0.0010156645327765723
1817826113,0.023473016320467405,0.02247253073557423,-0.0010004855848931744
1923718209,0.022155759059964232,0.021516819506728152,-0.00063893955323608
584493222,0.022451285623812343,0.02159342149768715,-0.0008578641261251935
954794345,0.022284429947902966,0.021552261753921977,-0.0007321681939809893
1109085272,0.023039003418304716,0.02232431086643376,-0.0007146925518709546
825284871,0.023224184392261576,0.02255885250083753,-0.0006653318914240473
1645729774,0.02179460102154968,0.02189254110720112,9.794008565144202e-05
34563576,0.023224454412344126,0.02285553339971355,-0.0003689210126305749
1142149615,0.022580249259572378,0.0221951297453062,-0.000385119514266178
950382055,0.023326683441358406,0.022218074065443343,-0.001108609375915063
428740973,0.022443842050173694,0.021308348071135387,-0.0011354939790383066
768890311,0.021681091747347007,0.021225509974531532,-0.00045558177281547485
1547818626,0.022690754445504932,0.021437582990763895,-0.0012531714547410373
1854365277,0.023156593683184405,0.02076178943298644,-0.0023948042501979634
1222441384,0.02335171900050516,0.021996217671254276,-0.001355501329250882
878440171,0.024310597397618778,0.022395808620046472,-0.0019147887775723058
736194822,0.02234948789898824,0.02232545748520355,-2.4030413784688343e-05
1766423682,0.022446202904933408,0.021041763137560992,-0.001404439767372416
