seed,method,condition,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
2008912712,boundary_aware,moderate,0.029874584862307634,0.07480840408392668,0.825,0.0,0.475,190.1393345136475
2008912712,boundary_aware,strong,0.037328154346469966,0.09038685578591715,0.725,0.0025,0.4425,183.824430872712
2008912712,robust_control_aware,moderate,0.020153266411274386,0.052372668235843634,0.94,0.0,0.4725,189.94695659255606
2008912712,robust_control_aware,strong,0.026052280650699186,0.0721356075129073,0.86,0.0,0.4575,179.12967819725384
2083871603,boundary_aware,moderate,0.029899686464120178,0.06881189505592925,0.8525,0.0,0.445,190.72416594003232
2083871603,boundary_aware,strong,0.04007800703204874,0.0964894587833626,0.6875,0.0,0.41,184.76574694289673
2083871603,robust_control_aware,moderate,0.020722369854126125,0.05364671324998761,0.935,0.0,0.485,193.02387032192766
2083871603,robust_control_aware,strong,0.02985506059524133,0.08206595205735555,0.815,0.0,0.3875,186.15247466495202
2068096722,boundary_aware,moderate,0.02737133006752056,0.06690010773732194,0.865,0.0025,0.47,189.47701728806965
2068096722,boundary_aware,strong,0.034544794516421236,0.08618284226675424,0.755,0.0025,0.46,185.25855601012793
2068096722,robust_control_aware,moderate,0.019334590341012915,0.04934885729004506,0.95,0.0,0.48,190.45648945306965
2068096722,robust_control_aware,strong,0.028115669030674414,0.07353323139781524,0.8375,0.0,0.4325,187.1585924612802
2011499666,boundary_aware,moderate,0.03138404157352614,0.07540578663645225,0.825,0.0,0.46,179.15900396076034
2011499666,boundary_aware,strong,0.042165550990963314,0.09722652793762078,0.6675,0.0,0.4375,172.95747845150305
2011499666,robust_control_aware,moderate,0.022785837575786318,0.05870556855249188,0.8975,0.0,0.43,182.13846364541092
2011499666,robust_control_aware,strong,0.027695286778882902,0.07347758986218,0.8525,0.0,0.455,173.9105431910416
2036729849,boundary_aware,moderate,0.02927621432090718,0.06828167211105877,0.8375,0.0,0.4625,189.95498487357415
2036729849,boundary_aware,strong,0.03868164789078448,0.08988755960009814,0.71,0.0,0.445,185.10875985893546
2036729849,robust_control_aware,moderate,0.022469990985732772,0.06356034588519345,0.9025,0.0,0.4425,189.8001161635249
2036729849,robust_control_aware,strong,0.026600974557445544,0.07135439603767686,0.86,0.0,0.4075,184.64171784822474
2020619234,boundary_aware,moderate,0.02604711399615439,0.05932353646192421,0.885,0.0,0.4525,187.43267098334897
2020619234,boundary_aware,strong,0.036341575869845134,0.08922032194945594,0.7575,0.0,0.38,184.54795721192403
2020619234,robust_control_aware,moderate,0.020629400016517082,0.058935643051023945,0.915,0.0,0.4275,191.52006573452394
2020619234,robust_control_aware,strong,0.026590340017919357,0.07297440050677712,0.8525,0.0,0.445,185.20085205393806
2111591596,boundary_aware,moderate,0.026983796143277717,0.06724283871231995,0.875,0.0,0.465,194.9563658422092
2111591596,boundary_aware,strong,0.03360267803156404,0.08326876697250603,0.7725,0.0,0.4225,188.407022831993
2111591596,robust_control_aware,moderate,0.02091672579416648,0.05374997783349235,0.9275,0.0,0.4025,199.04441450041662
2111591596,robust_control_aware,strong,0.02277592698841297,0.06229930754185715,0.9125,0.0,0.43,190.4889189987149
