seed,method,condition,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
2028371394,boundary_aware,moderate,0.027188655125729877,0.06874957076855653,0.8475,0.0,0.4575,184.38580222670493
2028371394,boundary_aware,strong,0.03591961237275404,0.08880031974514047,0.7725,0.0025,0.425,182.95059272245769
2028371394,robust_control_aware,moderate,0.019955214257498084,0.05924694266925644,0.9275,0.0025,0.5,186.00457009843694
2028371394,robust_control_aware,strong,0.025884644538796475,0.07519647976331384,0.865,0.0,0.445,180.08786425429025
2129086367,boundary_aware,moderate,0.029211044548723,0.07111547316867772,0.8575,0.0,0.46,190.10213719613702
2129086367,boundary_aware,strong,0.034683365241536236,0.08287766055881417,0.7775,0.0,0.4425,183.91581208342012
2129086367,robust_control_aware,moderate,0.020292306698098787,0.0549021689246315,0.935,0.0,0.4025,191.19262898456628
2129086367,robust_control_aware,strong,0.026633690887351964,0.06693893439439957,0.86,0.0,0.445,184.49434066091987
2015514170,boundary_aware,moderate,0.026268228034332854,0.06547723023718244,0.885,0.0,0.495,192.5294902045983
2015514170,boundary_aware,strong,0.03621303278750939,0.08723887329446751,0.7625,0.0,0.435,181.77907805512768
2015514170,robust_control_aware,moderate,0.019801269630998743,0.05263135480602043,0.9425,0.0,0.455,193.7584033244139
2015514170,robust_control_aware,strong,0.024512768312259427,0.07065813282598957,0.8625,0.0,0.41,184.08152693610583
2078856977,boundary_aware,moderate,0.028658940731936165,0.06732289104186157,0.855,0.0,0.43,195.14878464290842
2078856977,boundary_aware,strong,0.03658756721983036,0.08543151610073059,0.7575,0.005,0.42,185.56697884315793
2078856977,robust_control_aware,moderate,0.019040575871922743,0.053131562668113405,0.94,0.0,0.45,193.29681177991228
2078856977,robust_control_aware,strong,0.026098258596232115,0.06575181107525008,0.8775,0.0,0.405,188.8228583006396
2040966188,boundary_aware,moderate,0.02860248241754994,0.07027973656936398,0.865,0.0,0.4525,195.8036874144471
2040966188,boundary_aware,strong,0.03382659109675805,0.08732858164069014,0.785,0.0,0.42,189.9757891359335
2040966188,robust_control_aware,moderate,0.020376883813834824,0.05204883139705145,0.9375,0.0,0.4225,195.26101483529538
2040966188,robust_control_aware,strong,0.02385601770106051,0.06639939968068011,0.8975,0.0,0.445,191.74279981759133
2050794585,boundary_aware,moderate,0.026954526860420894,0.06385740374072765,0.8775,0.0,0.4675,185.55815125140668
2050794585,boundary_aware,strong,0.03989672157597486,0.09536314071229642,0.71,0.0,0.4175,177.44571580828932
2050794585,robust_control_aware,moderate,0.01977900316772314,0.055023678810918,0.94,0.0,0.45,186.48523040083572
2050794585,robust_control_aware,strong,0.02701822827042904,0.07380939643545167,0.8575,0.0,0.43,182.18439801555272
2077848612,boundary_aware,moderate,0.028561098046519247,0.07102723980442753,0.8675,0.0,0.47,188.4955893035133
2077848612,boundary_aware,strong,0.03842352169023224,0.09402857271593427,0.74,0.0025,0.4375,182.59888003263882
2077848612,robust_control_aware,moderate,0.02166468910103641,0.056385402491630654,0.93,0.0,0.415,191.80932611603248
2077848612,robust_control_aware,strong,0.027464537830718432,0.06669051343312786,0.8525,0.0,0.4525,184.9084440890806
2038537373,boundary_aware,moderate,0.028481898519930878,0.07124327839653613,0.845,0.0,0.5,198.03929104850533
2038537373,boundary_aware,strong,0.03457054133838711,0.07795921726506773,0.77,0.0,0.43,188.79688213148583
2038537373,robust_control_aware,moderate,0.018972801524326812,0.05168553352470282,0.945,0.0,0.44,198.41623692129372
2038537373,robust_control_aware,strong,0.025495702216900628,0.06900343110055851,0.8675,0.0,0.4325,191.98180138807004
2056514722,boundary_aware,moderate,0.027820566248886607,0.06760517885951291,0.87,0.0,0.46,188.05694666348583
2056514722,boundary_aware,strong,0.040384416288459006,0.09050241901512153,0.705,0.0025,0.4,181.95243458150492
2056514722,robust_control_aware,moderate,0.021201013653662403,0.05751501344888756,0.9275,0.0,0.4175,192.05000703836683
2056514722,robust_control_aware,strong,0.02536951045562854,0.064744753861891,0.88,0.0,0.415,182.16698173106857
2011042249,boundary_aware,moderate,0.02955307171208936,0.06530750497175725,0.8275,0.0,0.495,191.44276168941553
2011042249,boundary_aware,strong,0.03737050452292929,0.0845930331301444,0.7325,0.0025,0.4425,183.36216112053427
2011042249,robust_control_aware,moderate,0.020602016478354274,0.05410367929833136,0.935,0.0,0.45,192.57291450135006
2011042249,robust_control_aware,strong,0.025647297877679075,0.07242092060646556,0.885,0.0,0.4275,184.37442752637796
2034018386,boundary_aware,moderate,0.02724594394255943,0.06515139574627082,0.8625,0.0,0.475,192.3512553835436
2034018386,boundary_aware,strong,0.04018688481350499,0.09910962227482796,0.7025,0.0,0.415,185.78798675248913
2034018386,robust_control_aware,moderate,0.01918657724290274,0.050848269758299564,0.945,0.0,0.485,193.7119664867193
2034018386,robust_control_aware,strong,0.028361563702730245,0.07329192042741384,0.8325,0.0,0.4075,186.81348713304328
2087578872,boundary_aware,moderate,0.028016198301289225,0.0644648267229451,0.87,0.0,0.4575,190.85570894109122
2087578872,boundary_aware,strong,0.03727403681799084,0.08434004149461682,0.7175,0.0,0.4175,181.43418438976647
2087578872,robust_control_aware,moderate,0.02012847919028341,0.0522942921239577,0.94,0.0,0.455,189.11463073471958
2087578872,robust_control_aware,strong,0.025023484729457975,0.06281100785640062,0.8725,0.0,0.41,181.64775326774446
2006405080,boundary_aware,moderate,0.030022286816714358,0.07265053212553187,0.845,0.0,0.49,191.4152324478008
2006405080,boundary_aware,strong,0.03968165312593959,0.09866950545654495,0.73,0.0025,0.435,182.93999228578494
2006405080,robust_control_aware,moderate,0.02109991202642991,0.06120806790268839,0.9075,0.0,0.4375,193.0976934237971
2006405080,robust_control_aware,strong,0.025855922949100933,0.069555926801004,0.8925,0.0,0.4075,182.75027262214905
2048199473,boundary_aware,moderate,0.026264104906003775,0.06354588728315777,0.9,0.0,0.4625,193.37080824723364
2048199473,boundary_aware,strong,0.03574761864142289,0.08519069924814136,0.745,0.0,0.425,187.71323872024374
2048199473,robust_control_aware,moderate,0.019670773737534276,0.05098626355211706,0.9425,0.0,0.4375,201.62448618275002
2048199473,robust_control_aware,strong,0.023286733143185256,0.059241442666215165,0.9025,0.0,0.4275,188.46709896336944
2000010804,boundary_aware,moderate,0.027179216679333935,0.06862218707466129,0.8625,0.0,0.47,186.87060628999728
2000010804,boundary_aware,strong,0.03315762613637386,0.07871438867075725,0.775,0.0,0.4375,178.0318810446534
2000010804,robust_control_aware,moderate,0.019339698595300044,0.05638000983428718,0.9375,0.0,0.435,189.49033325121906
2000010804,robust_control_aware,strong,0.02323728540558115,0.06540882232275017,0.905,0.0,0.4275,180.79300277918696
2028092530,boundary_aware,moderate,0.029191229334160226,0.06888915345817007,0.84,0.0,0.475,189.5388087793531
2028092530,boundary_aware,strong,0.037946462711813886,0.09726401994416961,0.7125,0.0,0.41,185.89780302977715
2028092530,robust_control_aware,moderate,0.02086947440049343,0.05252919783778358,0.94,0.0,0.4425,188.2090498159324
2028092530,robust_control_aware,strong,0.02870167123740349,0.07609091975609142,0.82,0.0,0.3825,185.23989747534694
2091254689,boundary_aware,moderate,0.028105085893621585,0.06828021141865911,0.865,0.0,0.4375,189.54241515391135
2091254689,boundary_aware,strong,0.036838049482051376,0.08068551750333251,0.755,0.0,0.4175,185.749763796897
2091254689,robust_control_aware,moderate,0.019932498892398565,0.052364260563540106,0.94,0.0,0.4325,190.12808856651094
2091254689,robust_control_aware,strong,0.024332625606609305,0.06326868952395542,0.9025,0.0,0.44,187.0297892071428
