seed,method,condition,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
2091844883,boundary_aware,moderate,0.027230975444264817,0.061866645216901266,0.88,0.0,0.475,192.6309540739611
2091844883,boundary_aware,strong,0.03922396574105589,0.09267785766167869,0.72,0.0025,0.415,186.84284058159602
2091844883,robust_control_aware,moderate,0.01994865881448811,0.04835090313983002,0.95,0.0,0.4325,191.30010783996897
2091844883,robust_control_aware,strong,0.028327387535270292,0.07910535165728587,0.8275,0.0,0.455,188.5987768731689
2081126760,boundary_aware,moderate,0.029905123665031234,0.06721784114351631,0.8375,0.0,0.4625,194.19430576924708
2081126760,boundary_aware,strong,0.03764289887569207,0.08612378070840299,0.745,0.0,0.41,182.95142093933185
2081126760,robust_control_aware,moderate,0.020192534817097166,0.0576608568234458,0.92,0.0,0.485,197.34517616015245
2081126760,robust_control_aware,strong,0.027077731467312686,0.07380919811305052,0.855,0.0,0.445,191.30436114987373
2132359492,boundary_aware,moderate,0.026617073531377745,0.05953743578443894,0.8825,0.0,0.4475,190.8617953614973
2132359492,boundary_aware,strong,0.03506902339221468,0.07849389080342539,0.7525,0.0,0.4225,187.9247330788112
2132359492,robust_control_aware,moderate,0.020961875937080984,0.058999325426082216,0.9325,0.0,0.4375,194.62266691007292
2132359492,robust_control_aware,strong,0.028322224790300856,0.0720771713684233,0.8475,0.0,0.4225,190.25619394978978
2112659342,boundary_aware,moderate,0.029192243821577434,0.07322679413777426,0.8375,0.0,0.475,193.3607279599703
2112659342,boundary_aware,strong,0.03898226964434329,0.09085149717878699,0.7125,0.0025,0.4325,191.08755548261314
2112659342,robust_control_aware,moderate,0.02140696087200281,0.05844477463401915,0.9175,0.0,0.4675,194.28699233011343
2112659342,robust_control_aware,strong,0.029326564146105717,0.0811859713052648,0.845,0.0,0.42,188.4418221597404
2136610952,boundary_aware,moderate,0.02942219111342691,0.0737407084210953,0.8525,0.0,0.4775,193.78893801944935
2136610952,boundary_aware,strong,0.03636891806312385,0.08563148377732227,0.73,0.0,0.415,186.8046513514821
2136610952,robust_control_aware,moderate,0.021353166887331562,0.055604046874788066,0.93,0.0025,0.4825,193.73381514317487
2136610952,robust_control_aware,strong,0.025176260499067907,0.06727252694410871,0.8775,0.0,0.3925,191.0212413669447
2028597651,boundary_aware,moderate,0.02874570578343083,0.07034384029737085,0.855,0.0,0.47,194.88649051156534
2028597651,boundary_aware,strong,0.038727432593173995,0.08925486792403424,0.7125,0.0,0.425,183.5194919189036
2028597651,robust_control_aware,moderate,0.022721589623104763,0.05663235377069641,0.9075,0.0,0.4475,195.16791377645242
2028597651,robust_control_aware,strong,0.026773696741519172,0.07051946538099449,0.8675,0.0025,0.4425,189.4269100728793
2134715522,boundary_aware,moderate,0.028081587945524795,0.06808341652413408,0.8625,0.0,0.4475,193.37760034292398
2134715522,boundary_aware,strong,0.03732576285533442,0.08682340281013563,0.7425,0.0,0.4175,188.17580894071205
2134715522,robust_control_aware,moderate,0.022667321541403353,0.05550018411458565,0.9225,0.0,0.3875,195.90804359666495
2134715522,robust_control_aware,strong,0.02709539172479206,0.07511897765673024,0.86,0.0,0.41,190.12329778183516
2123458419,boundary_aware,moderate,0.026282951231868242,0.06407119695788156,0.895,0.0,0.46,193.53437627766866
2123458419,boundary_aware,strong,0.034040540378888054,0.0780336448883324,0.785,0.0,0.425,189.20445405588728
2123458419,robust_control_aware,moderate,0.019838080278343478,0.05150113766130577,0.9425,0.0,0.4125,198.4799303127395
2123458419,robust_control_aware,strong,0.024782524222185222,0.07170733464800896,0.8625,0.0,0.4,189.12714676027187
2002815798,boundary_aware,moderate,0.02801702029052626,0.07055697931884115,0.845,0.0,0.475,189.24648390284653
2002815798,boundary_aware,strong,0.03921205654053352,0.08788579792310465,0.7225,0.0025,0.4175,184.79022966143845
2002815798,robust_control_aware,moderate,0.020945590365111285,0.05620709393786146,0.9225,0.0,0.4475,190.16684590181592
2002815798,robust_control_aware,strong,0.02731183263270715,0.07076631167501776,0.8725,0.0,0.425,186.18518596619896
2105407014,boundary_aware,moderate,0.029332212756592934,0.0682063180087582,0.85,0.0,0.465,190.26105220386748
2105407014,boundary_aware,strong,0.037275256016694985,0.09180784812213151,0.735,0.0,0.4175,188.36260736196527
2105407014,robust_control_aware,moderate,0.02056743640752502,0.057526268495449895,0.93,0.0,0.475,193.35355169448093
2105407014,robust_control_aware,strong,0.028146737412683972,0.07322288752614543,0.8425,0.0,0.415,187.65610639631478
2071392037,boundary_aware,moderate,0.03100123438465628,0.07892223577136817,0.81,0.0025,0.465,188.69504605585658
2071392037,boundary_aware,strong,0.04010694046198119,0.09970376948005634,0.7125,0.0025,0.4225,180.00727851138424
2071392037,robust_control_aware,moderate,0.02279708050854458,0.06560320291825575,0.895,0.0025,0.4675,189.05722068017917
2071392037,robust_control_aware,strong,0.02791037643910669,0.08206706270624026,0.85,0.0,0.475,180.79880823571472
2145519086,boundary_aware,moderate,0.03015717798028964,0.06982500638550293,0.8275,0.0,0.4875,193.16178184095918
2145519086,boundary_aware,strong,0.04089359652497421,0.09838606638710388,0.7,0.0025,0.4275,181.94581256988516
2145519086,robust_control_aware,moderate,0.021016117206988517,0.05107789489042357,0.945,0.0,0.515,194.38096663637086
2145519086,robust_control_aware,strong,0.029428526696584134,0.07762813350953475,0.8325,0.0,0.43,187.10783464254794
2042642609,boundary_aware,moderate,0.028331313536331625,0.06869016391768763,0.855,0.0,0.4525,193.23521864125757
2042642609,boundary_aware,strong,0.03850200530477719,0.09798058490399711,0.705,0.0,0.46,184.10702727083148
2042642609,robust_control_aware,moderate,0.02057325449984133,0.053187877205593266,0.935,0.0,0.4325,193.29823436359683
2042642609,robust_control_aware,strong,0.029626846283672684,0.08283833010035704,0.84,0.0,0.415,185.57602165695474
2081697817,boundary_aware,moderate,0.028516247310675327,0.06816248517033739,0.8675,0.0,0.455,189.43051308998372
2081697817,boundary_aware,strong,0.034696305102846416,0.0814070256679996,0.7725,0.0,0.44,176.38608869439787
2081697817,robust_control_aware,moderate,0.019604742565597473,0.05254480273206517,0.94,0.0,0.475,190.45433465739058
2081697817,robust_control_aware,strong,0.026262367362904975,0.06856917918528356,0.8625,0.0,0.425,179.64059197681448
2011270730,boundary_aware,moderate,0.027161482312468913,0.06686143238609979,0.8575,0.0,0.4925,192.4375233818346
2011270730,boundary_aware,strong,0.038455267896887864,0.09358599684436059,0.7425,0.0025,0.42,186.67413376791052
2011270730,robust_control_aware,moderate,0.021352139141443516,0.05304352227366729,0.9125,0.0,0.4375,197.10957949080873
