seed,method,condition,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
2025295977,boundary_aware,moderate,0.026468562654863102,0.06708879726932981,0.88,0.0,0.4525,197.85932199104906
2025295977,boundary_aware,strong,0.033225167108563755,0.08144420481037859,0.79,0.0,0.4175,191.89777853160473
2025295977,robust_control_aware,moderate,0.01844613752456409,0.04999648486412391,0.95,0.0,0.445,200.86960600299764
2025295977,robust_control_aware,strong,0.02224352801739449,0.06488156237935205,0.9125,0.0,0.4325,193.11710306337628
2022657269,boundary_aware,moderate,0.025848806957159885,0.060181239551846004,0.875,0.0,0.5025,194.1979360882957
2022657269,boundary_aware,strong,0.03497899295998769,0.08340661619863475,0.755,0.0,0.4525,189.51602356501388
2022657269,robust_control_aware,moderate,0.01909711667673754,0.049148661800930686,0.9525,0.0,0.4475,194.1246797020914
2022657269,robust_control_aware,strong,0.02314601938005029,0.061074774863469065,0.9,0.0,0.465,187.4978337791021
2116657873,boundary_aware,moderate,0.028095252207854672,0.06781633038199995,0.8625,0.0,0.46,183.5931410328383
2116657873,boundary_aware,strong,0.03738117912632452,0.08283504298903221,0.7475,0.0,0.42,181.06475956133607
2116657873,robust_control_aware,moderate,0.019607476077583556,0.05318028657991802,0.935,0.0,0.4725,187.62366251797772
2116657873,robust_control_aware,strong,0.025560426348641366,0.06810486526603024,0.8875,0.0,0.4325,182.71409040798056
2024138400,boundary_aware,moderate,0.027750800099235518,0.06614394655119424,0.8675,0.0,0.4775,185.20904875242294
2024138400,boundary_aware,strong,0.03925372938525485,0.0917407593694436,0.7075,0.0,0.4225,177.04663760632374
2024138400,robust_control_aware,moderate,0.021481709212343613,0.055519174972293306,0.9375,0.0,0.445,190.03058495843783
2024138400,robust_control_aware,strong,0.026701029905215782,0.0713738394556149,0.865,0.0,0.45,177.48081124928981
2052781987,boundary_aware,moderate,0.026832002809735446,0.06678805488407678,0.8625,0.0,0.475,190.40527902789995
2052781987,boundary_aware,strong,0.038661532928637554,0.0897891302583313,0.71,0.0,0.4125,178.25055664538402
2052781987,robust_control_aware,moderate,0.01912836026049639,0.051679918563110966,0.945,0.0,0.4725,187.4824056906659
2052781987,robust_control_aware,strong,0.02594520160306982,0.0703251786416147,0.88,0.0,0.4475,181.20969640587157
2057800956,boundary_aware,moderate,0.027672518045518325,0.07311845672038032,0.8625,0.0,0.4875,195.8701681022019
2057800956,boundary_aware,strong,0.0362754715916168,0.08935848703337165,0.74,0.0,0.43,179.69156055795594
2057800956,robust_control_aware,moderate,0.019546353839230125,0.05553741425161774,0.93,0.0,0.45,192.68645380882123
2057800956,robust_control_aware,strong,0.024193244192998932,0.06423581207586719,0.8925,0.0,0.4175,181.38661179794974
2130969887,boundary_aware,moderate,0.030918812312217624,0.07258998170033705,0.82,0.0,0.47,189.44447992039528
2130969887,boundary_aware,strong,0.036033329097982944,0.08818246140352434,0.7625,0.0,0.4225,183.6646490703398
2130969887,robust_control_aware,moderate,0.021028608124740975,0.05601653301917361,0.9275,0.0,0.43,191.3564774027913
2130969887,robust_control_aware,strong,0.029496682266398375,0.07677432380152518,0.825,0.0,0.4175,186.53161530865154
2057234851,boundary_aware,moderate,0.026194721389556076,0.0655300360908516,0.89,0.0,0.4675,198.3207599531349
2057234851,boundary_aware,strong,0.035518967589572216,0.08118181906130222,0.7725,0.0,0.4125,188.63907456094006
2057234851,robust_control_aware,moderate,0.02046091272396324,0.05393393771308484,0.9325,0.0,0.4625,199.19598017745207
2057234851,robust_control_aware,strong,0.025212039456135767,0.06543279844808335,0.88,0.0,0.4075,192.8763289100844
2089751734,boundary_aware,moderate,0.026536669380099617,0.06279287440447909,0.875,0.0,0.45,195.24693368022702
2089751734,boundary_aware,strong,0.03589700245883589,0.08592770933138995,0.7425,0.0,0.4375,188.262254024375
2089751734,robust_control_aware,moderate,0.02163872691454425,0.05873977818751707,0.9225,0.0,0.415,199.5624009966872
2089751734,robust_control_aware,strong,0.024979395789059233,0.06599574492261802,0.8725,0.0,0.405,191.36408679152024
2000543351,boundary_aware,moderate,0.027544399677090537,0.06585656082033128,0.8625,0.0,0.43,188.6255744737988
2000543351,boundary_aware,strong,0.03541356846741259,0.08742089987073018,0.7625,0.0,0.43,179.0074397138613
2000543351,robust_control_aware,moderate,0.020033913147673433,0.05126292951686631,0.945,0.0025,0.4525,190.47799348570152
2000543351,robust_control_aware,strong,0.027132733419935554,0.07951263506714547,0.8475,0.0,0.39,182.6736211047695
2142484804,boundary_aware,moderate,0.02865519464271685,0.07170975206506766,0.84,0.0,0.4925,195.23678439700836
2142484804,boundary_aware,strong,0.03396414204414462,0.08165786951672162,0.7825,0.0,0.4375,186.6246650634892
2142484804,robust_control_aware,moderate,0.020381736991401583,0.05611384827492027,0.925,0.0,0.4875,197.06557740636646
2142484804,robust_control_aware,strong,0.02434119850592402,0.06788639862959933,0.8925,0.0,0.445,186.44989993992
2115531527,boundary_aware,moderate,0.029912749949113235,0.07098710779470943,0.8075,0.0,0.465,189.53888589872884
2115531527,boundary_aware,strong,0.036407021047325364,0.08104119634933796,0.745,0.0,0.4475,182.24757521663366
2115531527,robust_control_aware,moderate,0.01879903861401703,0.05148404542560216,0.9375,0.0,0.4675,192.99910880090496
2115531527,robust_control_aware,strong,0.025182208122785203,0.07336481768402363,0.87,0.0,0.4225,178.40822396931162
2139057289,boundary_aware,moderate,0.0263354097481103,0.061846341346472745,0.885,0.0,0.5075,191.561184166482
2139057289,boundary_aware,strong,0.031653767842780456,0.07896484808080627,0.815,0.0,0.48,185.14746152753304
2139057289,robust_control_aware,moderate,0.019793758088919425,0.0554182781276459,0.925,0.0,0.44,194.28660349601313
2139057289,robust_control_aware,strong,0.023532241683632167,0.06368189255028307,0.9025,0.0,0.4475,190.07311627316122
2077425725,boundary_aware,moderate,0.02479610752570417,0.06295923709735465,0.89,0.0,0.47,189.63071638694348
2077425725,boundary_aware,strong,0.03428435851375349,0.08187922761310115,0.7825,0.0,0.4325,182.74417624963291
2077425725,robust_control_aware,moderate,0.019679773877333755,0.05275011154291095,0.9425,0.0,0.465,191.71286041993704
2077425725,robust_control_aware,strong,0.0232685199750907,0.059119723359310324,0.905,0.0,0.46,180.47181304360203
2137522016,boundary_aware,moderate,0.028331804575913874,0.07094138348218013,0.855,0.0,0.47,188.25662602890333
2137522016,boundary_aware,strong,0.03983590936072395,0.10074024797346753,0.7025,0.0,0.425,183.35452632790015
2137522016,robust_control_aware,moderate,0.02201785437856827,0.059845777959114006,0.9175,0.0,0.405,188.99390611678476
2137522016,robust_control_aware,strong,0.027697583905282333,0.07332100277625622,0.8475,0.0,0.42,182.03807119033476
2092410288,boundary_aware,moderate,0.02858980465362655,0.06806452696093035,0.8625,0.0,0.46,185.5355326089926
2092410288,boundary_aware,strong,0.03998870894486393,0.09300415001338284,0.725,0.0,0.425,177.26063816484566
2092410288,robust_control_aware,moderate,0.02166221024860743,0.06025192231019485,0.915,0.0,0.455,191.4217062398459
2092410288,robust_control_aware,strong,0.026332250992257646,0.06976482840548473,0.875,0.0,0.45,182.6973966762729
2072623169,boundary_aware,moderate,0.027589575490705117,0.06302452048878422,0.8525,0.0,0.455,191.8071443432252
2072623169,boundary_aware,strong,0.03484678071398481,0.08090558760443796,0.7725,0.0,0.425,186.0261432675211
2072623169,robust_control_aware,moderate,0.021265742791135675,0.05409778003557479,0.9325,0.0,0.4225,193.3055754993652
2072623169,robust_control_aware,strong,0.02263155383442317,0.0622159907866264,0.915,0.0,0.4175,188.06538391324364
2127765993,boundary_aware,moderate,0.025251235089728194,0.06311119323355438,0.86,0.0,0.4775,189.43388035052305
2127765993,boundary_aware,strong,0.034387746188994865,0.08546227321016099,0.7675,0.0,0.455,186.93658022826173
2127765993,robust_control_aware,moderate,0.019437877855583676,0.05630628984187948,0.93,0.0,0.455,193.95812223036728
2127765993,robust_control_aware,strong,0.024647233777769006,0.0706500475290333,0.875,0.0,0.44,189.10101548987552
2099973946,boundary_aware,moderate,0.027605748207822075,0.0646747270571339,0.8675,0.0,0.44,196.61299405975456
2099973946,boundary_aware,strong,0.032765151207478846,0.0772936859215124,0.8025,0.0,0.435,184.99396935946976
2099973946,robust_control_aware,moderate,0.018369263805148764,0.0501669419322865,0.9475,0.0,0.405,196.895981204384
2099973946,robust_control_aware,strong,0.02469211229437012,0.06667072732346112,0.8725,0.0,0.4,192.3648253992805
2117832199,boundary_aware,moderate,0.029229675585637997,0.06801819618974489,0.8525,0.0,0.4575,192.66456268224303
2117832199,boundary_aware,strong,0.0394187483344826,0.09536751269077956,0.72,0.0,0.41,190.1500084260761
2117832199,robust_control_aware,moderate,0.020578131605529428,0.05628361203594564,0.93,0.0,0.4575,195.46240852565182
2117832199,robust_control_aware,strong,0.026557964280033142,0.07135919812157192,0.8525,0.0,0.4375,187.39072924162625
2094442570,boundary_aware,moderate,0.02636313524860908,0.06258828465317996,0.87,0.0,0.4625,188.6745547757747
2094442570,boundary_aware,strong,0.035927127693156945,0.08326046702460661,0.7275,0.0,0.43,182.1132478004899
2094442570,robust_control_aware,moderate,0.01714793537618068,0.04807110070186179,0.955,0.0,0.505,193.12257752737617
2094442570,robust_control_aware,strong,0.024503456036575284,0.06527670610558223,0.9025,0.0,0.44,185.78584983559387
2117719273,boundary_aware,moderate,0.027463183395202338,0.06583474235210854,0.8575,0.0,0.4625,191.493600876546
2117719273,boundary_aware,strong,0.035749449121851115,0.09148162979420155,0.75,0.0,0.42,188.59818698209202
2117719273,robust_control_aware,moderate,0.019806425572012468,0.05252768345825977,0.9275,0.0,0.45,193.85463010824628
2117719273,robust_control_aware,strong,0.02647603863873322,0.06787399864330547,0.8575,0.0,0.4375,183.9745709449563
2068744818,boundary_aware,moderate,0.028365192292211763,0.06875253661107486,0.8525,0.0,0.4575,192.931765969622
2068744818,boundary_aware,strong,0.03538520557823568,0.08148058696471841,0.785,0.0025,0.3975,184.20289882275668
2068744818,robust_control_aware,moderate,0.021120521644998648,0.054538259998452514,0.92,0.0,0.4375,193.49159204059944
2068744818,robust_control_aware,strong,0.025420956144740763,0.07296125337821861,0.875,0.0,0.435,187.38068689089874
2075770370,boundary_aware,moderate,0.030102543193693255,0.07292892387369942,0.8125,0.0,0.4925,197.30909288292654
2075770370,boundary_aware,strong,0.03688285311915446,0.09589998428369956,0.75,0.0,0.43,189.7419987704131
2075770370,robust_control_aware,moderate,0.020322349147606795,0.05915485281952515,0.9325,0.0,0.4625,198.5496595473488
2075770370,robust_control_aware,strong,0.02474616251808007,0.0682857714487565,0.8775,0.0,0.43,189.45358588126652
