seed,experiment,method,condition,mean_regret,p95_regret,action_agreement,mean_gap,q1_regret,q1_agreement,q2_regret,q2_agreement,q3_regret,q3_agreement,q4_regret,q4_agreement
2825654166,E020,boundary_aware,moderate,0.0024494396428517947,0.010492865547919025,0.4318181818181818,0.003758469669167173,0.0022644201641778116,0.18181818181818182,0.0019364662888406022,0.41818181818181815,0.0028423144777443474,0.43636363636363634,0.002754557640644416,0.6909090909090909
2825654166,E020,boundary_aware,strong,0.004265963513437247,0.015146667374256118,0.32727272727272727,0.003758469669167173,0.00346354252257258,0.14545454545454545,0.003113474152489539,0.2909090909090909,0.004051333020593923,0.38181818181818183,0.0064355043580929475,0.4909090909090909
2825654166,E020,robust_control_aware,moderate,0.0010509891109028024,0.005525763986794204,0.6318181818181818,0.003758469669167173,0.0007977416445081897,0.41818181818181815,0.0013372573872726726,0.5272727272727272,0.0012334333402564811,0.6909090909090909,0.0008355240715738654,0.8909090909090909
2825654166,E020,robust_control_aware,strong,0.0020255262185588842,0.008674064792449487,0.5136363636363637,0.003758469669167173,0.0017335257255122502,0.3090909090909091,0.002426252968745443,0.41818181818181815,0.0020757456133883743,0.5272727272727272,0.001866580566589469,0.8
2825654166,E031,boundary_aware,moderate,0.004400915789766003,0.01509536998483591,0.3181818181818182,0.003758469669167173,0.0035255881943556727,0.2,0.0029384980899509762,0.3090909090909091,0.003954430791477262,0.34545454545454546,0.007185146083280098,0.41818181818181815
2825654166,E031,boundary_aware,strong,0.005306178594376274,0.016796293202787613,0.3090909090909091,0.003758469669167173,0.00413297636601432,0.2545454545454545,0.003810916032022451,0.32727272727272727,0.00421408832440488,0.32727272727272727,0.009066733655063445,0.32727272727272727
2825654166,E031,robust_control_aware,moderate,0.0038568360491769483,0.014425217638243637,0.40454545454545454,0.003758469669167173,0.002220198238644064,0.32727272727272727,0.002817626307016181,0.34545454545454546,0.004408694878458708,0.4,0.00598082477258884,0.5454545454545454
2825654166,E031,robust_control_aware,strong,0.0047555320454571795,0.015284418927366143,0.3409090909090909,0.003758469669167173,0.0035564179064552534,0.2909090909090909,0.0036367760059306106,0.2909090909090909,0.005055070407383177,0.32727272727272727,0.006773863862059676,0.45454545454545453
2861302546,E020,boundary_aware,moderate,0.0025888772335319154,0.012058858711083335,0.4954545454545455,0.0038817132635919835,0.0015483406345405037,0.3090909090909091,0.00245071056489875,0.45454545454545453,0.00277412490819543,0.5272727272727272,0.0035823328264929775,0.6909090909090909
2861302546,E020,boundary_aware,strong,0.004728858008387715,0.016678774507347973,0.36818181818181817,0.0038817132635919835,0.003641631136119919,0.23636363636363636,0.004050820211987341,0.36363636363636365,0.0045980376643071745,0.4,0.006624943021136428,0.4727272727272727
2861302546,E020,robust_control_aware,moderate,0.0011248384100607132,0.006159334257021119,0.6681818181818182,0.0038817132635919835,0.0008933004507419798,0.41818181818181815,0.0013714722283089155,0.5818181818181818,0.0018198330004528874,0.7272727272727273,0.00041474796073906874,0.9454545454545454
2861302546,E020,robust_control_aware,strong,0.0028493739239882384,0.013012389818655516,0.5454545454545454,0.0038817132635919835,0.0025955954034147513,0.3090909090909091,0.0022830447489170696,0.5454545454545454,0.0031323189148037764,0.5636363636363636,0.003386536628817358,0.7636363636363637
2861302546,E031,boundary_aware,moderate,0.004633532261230762,0.01555694998874746,0.33636363636363636,0.0038817132635919835,0.0029282593752046264,0.2909090909090909,0.004024486593019866,0.32727272727272727,0.004405053762306486,0.32727272727272727,0.007176329314392068,0.4
