seed,method,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
1294640583,mse,0.0239723066700253,0.05999317553414769,0.9075,0.0,0.5025,203.00697668087477
1294640583,control_aware,0.021560804153604264,0.05275871344580524,0.9425,0.0,0.5075,200.41029379500304
55475422,mse,0.02191575546546969,0.05335826635384913,0.94,0.0,0.5125,202.80353564532192
55475422,control_aware,0.02166009079282679,0.05438584753328559,0.9325,0.0,0.4575,205.12041589259908
1883337971,mse,0.023003754147019537,0.055968948502031525,0.9175,0.0,0.5375,204.18414191932848
1883337971,control_aware,0.02266914887668031,0.05549948628797523,0.925,0.0,0.5075,202.78449646215427
1230344216,mse,0.02244708345129912,0.055092803836897256,0.9175,0.0,0.55,204.92797946946416
1230344216,control_aware,0.021021903757886307,0.05158517806275412,0.935,0.0,0.5175,204.0944785747383
1624362658,mse,0.02284704979228861,0.05615405541812133,0.9225,0.0,0.5525,205.10858680373667
1624362658,control_aware,0.021949897709439288,0.05107944093537083,0.9375,0.0,0.4775,208.2073481867603
695473956,mse,0.022235546162522137,0.05538627389933424,0.9325,0.0,0.5325,206.12142037231692
695473956,control_aware,0.02228670710758337,0.05710409216139641,0.9325,0.0,0.5225,205.64810214083496
924011995,mse,0.022287309399645686,0.05506079892563685,0.9275,0.0,0.52,207.05519094596133
924011995,control_aware,0.020718486875675204,0.05231628537008599,0.9425,0.0,0.54,204.53304408313784
1245982552,mse,0.024327040578950698,0.05630135222271669,0.91,0.0025,0.4875,203.47726143726914
1245982552,control_aware,0.023868326525012393,0.05604630388490366,0.9225,0.0,0.455,201.85413210220824
1467373226,mse,0.022974872142499717,0.05660797512691346,0.9225,0.0,0.5375,205.01043071958378
1467373226,control_aware,0.021603856311465733,0.0533661619947655,0.9375,0.0,0.515,204.77832830875025
1747933378,mse,0.023165773512726688,0.057275646087049395,0.92,0.0,0.5425,196.13116799074763
1747933378,control_aware,0.021689742785631242,0.048926946668858225,0.95,0.0,0.5425,195.09221746465516
1817826113,mse,0.023473016320467405,0.0584505232027683,0.9225,0.0,0.5425,197.06605773781894
1817826113,control_aware,0.02247253073557423,0.05444413797880566,0.93,0.0,0.495,197.23219503718641
1142149615,mse,0.022580249259572378,0.053722351266380336,0.9275,0.0,0.5225,203.17715972331064
1142149615,control_aware,0.0221951297453062,0.051930586580172224,0.93,0.0,0.48,203.91314669054907
736194822,mse,0.02234948789898824,0.05403233064186387,0.9325,0.0,0.54,202.72047173325316
736194822,control_aware,0.02232545748520355,0.05536011545636642,0.925,0.0,0.49,203.40650079070812
1411404277,mse,0.022828540654483635,0.05606438742986057,0.925,0.0,0.57,203.29533991717523
1411404277,control_aware,0.022037934694967076,0.056541853475359616,0.935,0.0,0.535,202.97351605902844
1978800389,mse,0.0221357930184452,0.055665346978913184,0.9275,0.0,0.4875,211.07756832839834
1978800389,control_aware,0.02135085189232588,0.04960842315957168,0.9525,0.0,0.4475,210.6025939446477
1241452385,mse,0.02250876909605023,0.05575377282941678,0.9175,0.0,0.5525,203.31405606545968
1241452385,control_aware,0.022032315179118425,0.052865166703193314,0.925,0.0,0.5275,204.23633420307735
1675116625,mse,0.021936478996289685,0.055688265921258084,0.92,0.0,0.5225,208.6461988246179
1675116625,control_aware,0.020760273251004255,0.050074742102813874,0.9475,0.0,0.56,206.72163086581622
1413671675,mse,0.022887916345605566,0.05795307217522004,0.915,0.0,0.5425,202.83920234922562
1413671675,control_aware,0.022219496532476516,0.05653912747479459,0.925,0.0,0.555,204.40944474768753
1808828190,mse,0.022376777122581383,0.050343905921911604,0.945,0.0,0.53,203.2667909708097
1808828190,control_aware,0.022185955788314286,0.052390236898304805,0.9375,0.0,0.4625,206.15961424047825
307193744,mse,0.02326908731146818,0.0568550014745021,0.9225,0.0,0.4925,205.81919197373003
307193744,control_aware,0.0215656924640904,0.05208851453378735,0.9425,0.0,0.5225,203.66380981171432
555220982,mse,0.02325783441842928,0.05691576804251131,0.9225,0.0,0.51,202.8812974577126
555220982,control_aware,0.02262245044342821,0.056343838427946914,0.9275,0.0,0.53,199.865332267827
484570007,mse,0.022724628882545988,0.05583485166690007,0.935,0.0,0.54,203.03407797756662
484570007,control_aware,0.022003056430256542,0.05478225414596941,0.9275,0.0,0.4925,206.3432660375833
246365888,mse,0.022542772588601104,0.05551105846928996,0.9275,0.0,0.54,201.7587837263212
246365888,control_aware,0.02178587657542563,0.051715694552661014,0.94,0.0,0.5075,200.8023221038548
1069848759,mse,0.023768292333430443,0.057943702678346816,0.92,0.0,0.5025,203.07275145020355
1069848759,control_aware,0.023262519886263155,0.05611275270681608,0.93,0.0,0.5025,204.84839515308633
