seed,method,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
791006014,mse,0.023201555589982076,0.05384651285253204,0.93,0.0,0.5075,201.509827305471
791006014,control_aware,0.022970124496391856,0.05742220021687877,0.9225,0.0,0.4725,201.5222067478174
764448740,mse,0.02139991771114693,0.04831291158358292,0.955,0.0,0.5025,206.11269305253737
764448740,control_aware,0.02052256950652238,0.04923834294314936,0.9625,0.0,0.515,205.48302511116492
372625905,mse,0.02398284344899709,0.05803521264503714,0.91,0.0,0.5525,199.68707929228827
372625905,control_aware,0.022101909860999518,0.055365609073166545,0.9325,0.0,0.52,198.91131805336283
1276865964,mse,0.022102187733182996,0.051588314995425134,0.94,0.0,0.5525,204.98895643964806
1276865964,control_aware,0.021524674047962166,0.051164421313922584,0.9425,0.0,0.4975,204.66141419448047
861444438,mse,0.022663006198767634,0.056084996068534745,0.9375,0.0,0.5325,203.83778483978068
861444438,control_aware,0.021660348868425654,0.04960217655535421,0.95,0.0,0.5125,201.8849719083614
879352487,mse,0.023222092296306167,0.0585120924121146,0.9125,0.0,0.5225,208.69886951352225
879352487,control_aware,0.021398040343999565,0.05352032053483831,0.9225,0.0,0.5,206.0431938497692
1189536803,mse,0.02203034817817765,0.0534067874076219,0.93,0.0,0.5325,203.51984508147402
1189536803,control_aware,0.020704980141932214,0.0489953514564668,0.9525,0.0,0.5175,204.08287649258682
1140963883,mse,0.022924249433352695,0.05826338351426715,0.925,0.0,0.535,204.8656844123886
1140963883,control_aware,0.02103785756005172,0.050914794948279066,0.94,0.0,0.5075,204.5581013719486
545828479,mse,0.02172312420916942,0.052020986540391466,0.935,0.0,0.54,207.00947084000023
545828479,control_aware,0.021052832772016198,0.052495251944878626,0.9375,0.0,0.4825,204.07467447307567
1375966000,mse,0.022963929513480662,0.05517675865529738,0.9225,0.0,0.5275,201.14840258488096
1375966000,control_aware,0.02217406712459857,0.053919048344083044,0.9275,0.0,0.4825,202.24787990244107
954794345,mse,0.022284429947902966,0.054462292110000074,0.935,0.0,0.5025,206.41955276856675
954794345,control_aware,0.021552261753921977,0.054459217163371404,0.9325,0.0,0.48,204.0993131978358
768890311,mse,0.021681091747347007,0.05076908375021887,0.9475,0.0,0.5175,206.39919071174498
768890311,control_aware,0.021225509974531532,0.0546917572350986,0.935,0.0,0.4875,205.45930889914547
685639645,mse,0.0233634256129854,0.056721821626494986,0.925,0.0,0.505,201.57962401701855
685639645,control_aware,0.021679519810560027,0.053346179854485726,0.9275,0.0,0.5125,203.8085445972414
260736158,mse,0.02187953479888511,0.05309971907730503,0.935,0.0,0.56,202.3218084496922
260736158,control_aware,0.021522653680662113,0.0521691191687968,0.94,0.0,0.48,203.95729581405286
980066881,mse,0.022839510021120252,0.05583778722345786,0.935,0.0,0.515,202.31426699210283
980066881,control_aware,0.02173999316398185,0.05274403681031767,0.9425,0.0,0.49,204.17032780473414
744811250,mse,0.022376498967680226,0.05169758442599639,0.9325,0.0,0.5475,204.00505422732033
744811250,control_aware,0.021364075964611855,0.05317199696906106,0.935,0.0,0.51,205.30855477556838
971057595,mse,0.022410020054396775,0.053405832365110734,0.93,0.0,0.57,202.8832598562609
971057595,control_aware,0.02183740906766017,0.05081708276898733,0.945,0.0,0.505,203.01710099846633
1062388642,mse,0.02221150760504679,0.05411838716100927,0.925,0.0,0.5275,197.9128185118255
1062388642,control_aware,0.021809054872237478,0.05391417494587667,0.9275,0.0,0.52,199.47460992864274
1777989688,mse,0.022310807179873705,0.05307328503108771,0.9275,0.0,0.5275,207.11903444818554
1777989688,control_aware,0.022163961400006444,0.052992112389661644,0.935,0.0,0.47,206.84306217735795
573863892,mse,0.022154705625267182,0.05254152173893662,0.9325,0.0,0.5025,199.79539748265125
573863892,control_aware,0.021221856969619132,0.05205150602690032,0.9425,0.0,0.505,201.9494282284362
1957665329,mse,0.02169376651814562,0.05118479406693188,0.945,0.0,0.5075,202.25889239670738
1957665329,control_aware,0.021586907411934596,0.053561609497475474,0.935,0.0,0.4775,204.84221362517917
566066840,mse,0.022712201848301014,0.05563720020818332,0.92,0.0,0.5325,202.3094324942067
566066840,control_aware,0.022677269222629057,0.05679300256777264,0.9175,0.0,0.4975,200.77578697341144
1458872090,mse,0.024114346126223162,0.06140358835161204,0.89,0.0,0.525,201.062485245091
1458872090,control_aware,0.022194754131892935,0.05588986962691892,0.935,0.0,0.5225,198.96148724417046
559636726,mse,0.022286078578757654,0.053964816095311514,0.9325,0.0,0.5075,206.21582060851745
559636726,control_aware,0.02150568228628424,0.05033531946850903,0.9475,0.0,0.4925,205.71557545326067
