seed,method,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
1681658530,mse,0.0223780110278344,0.05523909864568746,0.9275,0.0,0.5075,208.88386536427674
1681658530,control_aware,0.021994752645144933,0.05339657974402752,0.93,0.0,0.4775,208.34035068188194
991786082,mse,0.022793108664238025,0.05604433928081505,0.9275,0.0,0.49,199.82624729097483
991786082,control_aware,0.021696232736388977,0.05113761502188959,0.9425,0.0,0.5325,199.77231943026206
988177621,mse,0.022457677854975065,0.05443442932538756,0.92,0.0,0.545,198.89854703194146
988177621,control_aware,0.021851749652454712,0.05579849392905158,0.935,0.0,0.5125,198.5046191158172
1954316548,mse,0.022946583579167668,0.05686551346266434,0.925,0.0,0.5375,203.31603953375924
1954316548,control_aware,0.023157817739282615,0.05860072228638393,0.9125,0.0,0.48,203.17168238495
1085230552,mse,0.022852815636945075,0.05695655794520825,0.9175,0.0,0.5575,202.4513749543303
1085230552,control_aware,0.022287854598250317,0.05525477319169244,0.93,0.0,0.4875,207.34255927474067
526140442,mse,0.02380434807925087,0.05902119787849196,0.9075,0.0025,0.535,203.9157959493768
526140442,control_aware,0.022742294875295846,0.05516072640706254,0.9225,0.0,0.4775,199.3972284867712
210954659,mse,0.022750998011897693,0.05437106620246735,0.93,0.0,0.5325,203.35012906162524
210954659,control_aware,0.02139004031604451,0.05255702390803146,0.935,0.0,0.525,202.9246788264012
213098712,mse,0.022975349764795892,0.05473418743936616,0.9325,0.0,0.52,204.42072808794052
213098712,control_aware,0.021934265837018904,0.053175901371847724,0.935,0.0,0.4925,203.53941644121883
1930269405,mse,0.024158332516998504,0.061217795544373406,0.9025,0.0,0.4925,205.66791118252272
1930269405,control_aware,0.022694734440862358,0.05380689473153418,0.935,0.0,0.4675,204.4343533971437
1486440433,mse,0.022453061188327697,0.053563755778753275,0.93,0.0,0.4875,214.50668478542
1486440433,control_aware,0.021052047178055533,0.05021350051644188,0.9475,0.0,0.4825,210.14673767055416
781073890,mse,0.02172929930798911,0.0504125101796816,0.9475,0.0,0.5025,205.51440682108472
781073890,control_aware,0.020713634775212538,0.04857343250683662,0.9525,0.0,0.53,207.29996279881678
34563576,mse,0.023224454412344126,0.05252181933228694,0.925,0.0,0.515,203.7407917670686
34563576,control_aware,0.02285553339971355,0.05875252517992135,0.9175,0.0,0.5175,202.95414713672903
878440171,mse,0.024310597397618778,0.06298862096142664,0.9075,0.0,0.5475,195.52673535728104
878440171,control_aware,0.022395808620046472,0.05390263453971368,0.9175,0.0,0.5525,194.9438760062494
941073737,mse,0.022040849288639138,0.052010673214240494,0.94,0.0,0.525,204.0437880706889
941073737,control_aware,0.020644294135355953,0.05036047896131368,0.945,0.0,0.5425,203.88387798121482
1212157452,mse,0.022730100578971645,0.055382274658492256,0.925,0.0,0.505,208.10924004681772
1212157452,control_aware,0.021803527786759203,0.0491370648289842,0.95,0.0,0.515,207.72409290723263
1749945741,mse,0.02215973308321413,0.054980198955194466,0.935,0.0,0.5175,211.16905359575338
1749945741,control_aware,0.021142030676832207,0.05028346133434695,0.945,0.0,0.4725,210.39953272890705
1722711439,mse,0.022699525452124957,0.06089843397421929,0.9125,0.0,0.5475,200.36479309578007
1722711439,control_aware,0.02206020104257843,0.05472122661570424,0.915,0.0,0.4925,200.9004745347395
1146998008,mse,0.022650532091065115,0.056597234633791745,0.9225,0.0,0.5175,206.41003860569387
1146998008,control_aware,0.021814645402090094,0.0523003173676045,0.9425,0.0,0.485,206.52909903117433
255962401,mse,0.02320780079279058,0.05959533894276234,0.9225,0.0,0.5325,204.12050395133434
255962401,control_aware,0.021105085196174284,0.05099994446221492,0.9425,0.0,0.525,201.35665329483004
208727478,mse,0.022482607563895557,0.05561311889911351,0.925,0.0,0.5075,205.19618869229703
208727478,control_aware,0.021097462206551038,0.05404252624043184,0.9325,0.0,0.525,202.6815765926528
371063617,mse,0.023194773659342516,0.05576783847174926,0.9225,0.0,0.495,204.57858318248873
371063617,control_aware,0.02168647492142469,0.051826837704840846,0.9375,0.0,0.49,203.47845881850398
265393696,mse,0.022586231748326552,0.05699549743018659,0.91,0.0,0.5125,200.15283452557316
265393696,control_aware,0.021429923091906725,0.055534234717786644,0.9275,0.0,0.515,196.66793266585668
1536039467,mse,0.02257479708010465,0.05497421540745887,0.9325,0.0,0.515,205.28231865142925
1536039467,control_aware,0.02216037612701757,0.05586409861284381,0.9225,0.0,0.515,206.7249749404055
11855327,mse,0.022896634265647187,0.05977599508211643,0.9125,0.0,0.56,205.99163504553798
11855327,control_aware,0.02154522524735179,0.0513939288696871,0.9425,0.0,0.495,205.5152373873815
