seed,method,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
1123914361,mse,0.022688454691755386,0.05533250375335759,0.935,0.0,0.5,202.5064448638002
1123914361,control_aware,0.021391867165519232,0.05109481575627588,0.9475,0.0025,0.4925,202.73833712655326
280357653,mse,0.022224307865094318,0.05366697585208269,0.9275,0.0,0.4925,209.10080068430347
280357653,control_aware,0.021083102667398927,0.049999432228404264,0.95,0.0,0.53,205.30980889905445
628296280,mse,0.021980552465341693,0.05405694624386671,0.9275,0.0,0.565,203.86344425031933
628296280,control_aware,0.02120349936250548,0.05328327843771633,0.9275,0.0,0.5,204.6732296516803
174015626,mse,0.022506262632943672,0.05541492386271526,0.9225,0.0,0.4675,210.10901797159022
174015626,control_aware,0.02086585712822269,0.04728973694913278,0.9575,0.0,0.4875,210.5487715387756
20100105,mse,0.021525998664177745,0.0529376202329568,0.93,0.0,0.49,203.31721460044176
20100105,control_aware,0.02076011957213022,0.051943613414512285,0.9375,0.0,0.5225,203.39233629022868
1066210165,mse,0.02230945727868705,0.05504827125048316,0.9275,0.0,0.505,207.1474452646043
1066210165,control_aware,0.02229477005349076,0.052297956614532286,0.9375,0.0,0.4675,206.59149719839604
1046211621,mse,0.02114200131086653,0.05068500975210221,0.9375,0.0,0.5725,205.2178397567111
1046211621,control_aware,0.021017855235697228,0.05239302265169783,0.9325,0.0,0.505,208.46794510865715
308475090,mse,0.02306699398211647,0.055892159922863505,0.9175,0.0,0.5575,200.53996943278503
308475090,control_aware,0.02166523627214953,0.05188273652019612,0.945,0.0,0.4925,200.40149209981706
422435281,mse,0.0234128465576529,0.05756743760144821,0.9175,0.0,0.525,203.33954314075834
422435281,control_aware,0.021825208711537994,0.05642659197979342,0.92,0.0,0.5,204.82737621839755
518339255,mse,0.022409607807939033,0.05439463642638431,0.93,0.0,0.5125,196.81625583601544
518339255,control_aware,0.02194791250114985,0.05384748835110333,0.9325,0.0,0.4825,201.7112242068913
918088976,mse,0.021905472233595305,0.054488243016079574,0.94,0.0,0.4925,204.53150708070996
918088976,control_aware,0.022157618507813625,0.056388990522831445,0.915,0.0,0.455,206.80016833698346
1645729774,mse,0.02179460102154968,0.05452737758389408,0.9275,0.0,0.555,201.5499093593108
1645729774,control_aware,0.02189254110720112,0.05294625470872192,0.935,0.0,0.505,203.41063372984402
1222441384,mse,0.02335171900050516,0.05720063866207072,0.9275,0.0,0.5025,204.58707424011624
1222441384,control_aware,0.021996217671254276,0.05137067042918592,0.9425,0.0,0.4975,202.57993761011804
1315992231,mse,0.02170888441079724,0.054405962460173644,0.9275,0.0,0.5375,205.81911217487612
1315992231,control_aware,0.02140034747491401,0.04937240079879748,0.9575,0.0,0.4875,205.20910013930714
1500137520,mse,0.02307252916911621,0.0565094179442286,0.92,0.0,0.5375,201.85482478501257
1500137520,control_aware,0.021909794684812932,0.05354556641666442,0.935,0.0,0.4975,201.84871074419522
662868457,mse,0.022848842073569412,0.05755412778213728,0.9125,0.0,0.4925,200.0105968998363
662868457,control_aware,0.022186988334249366,0.05227688203577231,0.93,0.0,0.49,199.76742489648615
1777327961,mse,0.022605440048194588,0.05271109284164598,0.915,0.0,0.525,202.35842511842958
1777327961,control_aware,0.02219677696696791,0.05349903674357935,0.9175,0.0,0.53,200.8823503753426
1740615999,mse,0.02265938244307812,0.05446626031547722,0.9325,0.0,0.5425,208.35852113944364
1740615999,control_aware,0.022024441195252376,0.053625951470770664,0.9275,0.0,0.5425,207.82442077872355
741642406,mse,0.022741175792692463,0.05558254649386901,0.9325,0.0,0.5075,203.3002575913568
741642406,control_aware,0.02108236072542292,0.051831936944104935,0.9425,0.0,0.555,205.67518114309613
431991862,mse,0.022424000280572624,0.05581513941935727,0.93,0.0,0.5175,202.50703867231476
431991862,control_aware,0.021177901251671988,0.05130732514563518,0.9475,0.0,0.51,202.15526200738373
1504669754,mse,0.022616076115124627,0.054404412974285936,0.9425,0.0,0.4925,203.63846208717422
1504669754,control_aware,0.02110210322147248,0.05147666071801873,0.94,0.0,0.52,201.7397217381219
183837943,mse,0.02168412730092059,0.05114828210982775,0.9375,0.0,0.525,204.1806399296557
183837943,control_aware,0.020892047600549836,0.048334460470384144,0.9575,0.0,0.535,204.2623733633465
643483619,mse,0.022937890478392214,0.053559594843755824,0.935,0.0,0.5375,205.61043632705213
643483619,control_aware,0.021430285353388184,0.05261785587942924,0.935,0.0,0.5175,204.03849875792247
1807906862,mse,0.02271995578718098,0.05471349912886703,0.935,0.0,0.5325,196.10042381868186
1807906862,control_aware,0.021430882262842267,0.05274041459844778,0.9375,0.0,0.5325,196.75597431083477
