seed,method,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
217731170,mse,0.0231374150117553,0.05632079064459097,0.92,0.0,0.5075,207.03685634886907
217731170,control_aware,0.022045625948112955,0.05347656119058006,0.9275,0.0,0.505,202.95920087057354
1417772135,mse,0.0231500806100137,0.0578566179596577,0.9125,0.0,0.51,206.59031135356184
1417772135,control_aware,0.021599066148991115,0.054047106851951326,0.925,0.0,0.5175,204.5760383587757
324249374,mse,0.021962447016965845,0.05214328240796426,0.9325,0.0,0.525,205.88318785542168
324249374,control_aware,0.02177671165716304,0.054139855062015074,0.93,0.0,0.5,208.0682501761203
586651730,mse,0.023102962361000085,0.05733940392756951,0.9225,0.0,0.525,207.50342256933743
586651730,control_aware,0.022583806591903267,0.05583242794603917,0.9275,0.0,0.4825,208.04748095915295
312356725,mse,0.022462811594041864,0.053836521798989595,0.935,0.0,0.495,201.6030620809251
312356725,control_aware,0.020488406033286402,0.04901995398599107,0.955,0.0,0.545,202.8575423755336
1094219417,mse,0.023300143424966103,0.05569219112738229,0.92,0.0,0.515,205.87805057284885
1094219417,control_aware,0.021842912257053947,0.05369703974620319,0.9275,0.0,0.5075,207.2404584118594
34530379,mse,0.023280379034774742,0.05619358196542716,0.92,0.0,0.5475,203.04614574584127
34530379,control_aware,0.022179122441862563,0.05454854031741665,0.9225,0.0,0.4925,204.10761934968804
618033463,mse,0.024188651676077408,0.059916552930082384,0.8975,0.0,0.5275,200.11089843432458
618033463,control_aware,0.02231292741405623,0.05531945724728889,0.93,0.0,0.4975,198.63984130302532
41281430,mse,0.021474640713426224,0.05317732103227159,0.9325,0.0,0.5525,209.63757683771357
41281430,control_aware,0.021166850301712038,0.05185896256922244,0.94,0.0,0.48,211.13628787059517
1624805152,mse,0.02240789085511569,0.05226579481667454,0.9375,0.0,0.5175,200.55720486231004
1624805152,control_aware,0.022276792380011984,0.05255500968809174,0.9375,0.0,0.475,203.7718700215343
584493222,mse,0.022451285623812343,0.05518761885252067,0.9325,0.0,0.5525,202.76564987273383
584493222,control_aware,0.02159342149768715,0.052012072570280427,0.94,0.0,0.5175,204.80544226846345
428740973,mse,0.022443842050173694,0.05839781664107831,0.92,0.0,0.495,208.3186229380036
428740973,control_aware,0.021308348071135387,0.050764262325580144,0.9425,0.0,0.4875,206.83074890131664
1488279783,mse,0.021633534476286003,0.05161212463402227,0.9375,0.0,0.53,206.98052532277472
1488279783,control_aware,0.02130462836271425,0.05360361547225678,0.9425,0.0,0.505,208.68733716894636
308606681,mse,0.023242590739634295,0.0549950169846672,0.9225,0.0,0.5125,202.88576956550799
308606681,control_aware,0.02291486317794089,0.05457860317390029,0.9225,0.0,0.4525,201.98916537834157
855969822,mse,0.023537797912861463,0.056582295917099935,0.9125,0.0,0.5125,197.35286345592613
855969822,control_aware,0.0223466847009053,0.055657264251469246,0.925,0.0,0.5375,197.4919924388051
1183329859,mse,0.023384559414958418,0.05708680007234369,0.91,0.0,0.4875,203.26494793428537
1183329859,control_aware,0.022381571624258276,0.05626358821018887,0.9225,0.0,0.5,203.90862715916714
274400783,mse,0.022396176581467486,0.05193023312996204,0.94,0.0,0.4875,206.85721129318802
274400783,control_aware,0.021812454945899812,0.053917776041017565,0.9375,0.0,0.46,206.50960573033134
1399254090,mse,0.02334074506144357,0.058455027892267176,0.91,0.0,0.49,205.77557765521794
1399254090,control_aware,0.021262631491043304,0.053612498749977075,0.93,0.0,0.5075,205.56056483933784
63629299,mse,0.02280869142109651,0.05279160117532261,0.94,0.0,0.515,204.26668493981794
63629299,control_aware,0.022167230505937982,0.050202687985933726,0.945,0.0,0.5,205.19717812728913
871931230,mse,0.022398880574907114,0.058386477119002175,0.92,0.0,0.535,209.18262476351615
871931230,control_aware,0.020346556676142234,0.05001418689370304,0.95,0.0,0.505,206.32938687465088
319697365,mse,0.022182709897854112,0.05613906870701892,0.9275,0.0,0.545,204.09664818157853
319697365,control_aware,0.021753642644104697,0.05374174879723867,0.93,0.0,0.5075,203.8797003711161
1114666717,mse,0.022621936401650496,0.0561180601204819,0.925,0.0,0.535,204.90483174467062
1114666717,control_aware,0.0215151794596772,0.053632708652482236,0.93,0.0,0.475,204.1977779967212
342446918,mse,0.02275244109717492,0.0539086555395573,0.915,0.0,0.5125,206.23218417625526
342446918,control_aware,0.021054937363890004,0.05182037578267067,0.935,0.0,0.54,201.98465428939897
785001378,mse,0.0220824333204211,0.055279605170368146,0.93,0.0,0.495,208.84689387097097
785001378,control_aware,0.02086120084888023,0.04995810428038544,0.95,0.0,0.495,207.68439865831795
