method,mean,std,count,se
boundary_aware,0.025907004345473873,0.0033887650919768955,192,0.00024456305475915847
mse,0.02671966139468913,0.003858484294009315,192,0.00027846211822627766
noise_aware,0.02675135977478592,0.003049889837129565,192,0.0002201068398081823
robust_control_aware,0.02128115479609713,0.003478476789458503,192,0.0002510374388454665
sharpness_aware,0.027995978518690054,0.00303123541438696,192,0.00021876057280917978
