seed,boundary_stress_mean_D,robust_control_stress_mean_D,delta
3389111171,0.027295841828023304,0.021603879810727002,-0.005691962017296302
3084139821,0.02800621889619599,0.025744290855220286,-0.002261928040975702
2042987557,0.0247515949033639,0.020725065635337207,-0.004026529268026692
3002971205,0.025422269685893437,0.017804302585665267,-0.007617967100228169
4027510005,0.03139968029495592,0.02277380417151701,-0.00862587612343891
2672624958,0.0330296325553028,0.024746147178821152,-0.008283485376481648
2738655513,0.029107474670584454,0.02247665272413433,-0.006630821946450125
829092966,0.02687902485208408,0.024737140996821703,-0.0021418838552623755
2633362063,0.024908762577174642,0.020260777383830336,-0.004647985193344306
962559107,0.029305337454348962,0.021991011763370562,-0.0073143256909783995
1093805409,0.02766838822016881,0.0191745991181914,-0.008493789101977407
962587854,0.01830838457143384,0.01703019227312834,-0.0012781922983055027
860894674,0.02462772677809793,0.01876731808213433,-0.0058604086959636
3655813037,0.02306595952695993,0.017037965361097467,-0.0060279941658624644
3584847826,0.028583861361185355,0.024639240831991385,-0.003944620529193969
3191201105,0.022492679720043256,0.0196162156542925,-0.0028764640657507543
2911101028,0.025969912334258362,0.023970221944346864,-0.0019996903899114973
1310972635,0.024197717815414518,0.01868820053217568,-0.005509517283238837
3628597686,0.02547340278898593,0.01987359491184892,-0.005599807877137011
3381601262,0.021470502170093615,0.01827327546662244,-0.0031972267034711746
3092867210,0.02737296808292776,0.019169842669558464,-0.008203125413369296
2622879300,0.027401763448569698,0.022050506613801004,-0.005351256834768694
2937656991,0.024599854500848756,0.01994734022848525,-0.004652514272363507
1872448827,0.02189362154382258,0.01751945617270526,-0.00437416537111732
2027309548,0.02697393927691423,0.019637106547019723,-0.007336832729894507
2136321268,0.0236473163909523,0.019408122520003596,-0.004239193870948704
3252490845,0.018891833854703548,0.018274858002352828,-0.00061697585235072
3692477288,0.023314643292432487,0.025160012744468645,0.001845369452036158
72726709,0.02610501656713521,0.0221607135634214,-0.00394430300371381
263809025,0.033816230272320905,0.022109204009168933,-0.011707026263151971
388266878,0.0213510054342623,0.016367698410766067,-0.004983307023496232
3805909048,0.02569095893839131,0.02058310406244329,-0.0051078548759480175
3006661105,0.02225619462512981,0.01851108552892038,-0.0037451090962094293
2400255462,0.032334881389575056,0.023020187723945148,-0.009314693665629908
1592815009,0.022669467847205027,0.017303675684017195,-0.0053657921631878325
616946658,0.02329577206722308,0.020902643606746797,-0.0023931284604762834
4125253457,0.03952252703873546,0.038955295512171556,-0.000567231526563905
1894299039,0.026535096629333517,0.021011270996108982,-0.005523825633224535
1826657357,0.026419600150209818,0.020376169640421354,-0.006043430509788464
3869760332,0.024577905346182705,0.01900513876040403,-0.005572766585778675
3942096291,0.025900649826687525,0.019183294715500593,-0.006717355111186932
4196962272,0.024908377734456293,0.018837943224683955,-0.0060704345097723385
650737436,0.023060087625945504,0.018170457082102482,-0.004889630543843022
2765233509,0.030143570727852745,0.02280926542285032,-0.007334305305002425
2648460118,0.031121429774809084,0.024464260507233652,-0.0066571692675754315
2721002355,0.025773837757142537,0.021116264454778606,-0.004657573302363931
1443607338,0.028057098357510697,0.01931719036871105,-0.008739907988799648
3718361383,0.01964538681245204,0.01794768766229919,-0.001697699150152849
2813098644,0.028099980116929952,0.02848682572854659,0.0003868456116166395
4226629241,0.025711837460698356,0.02994220562832916,0.004230368167630803
1180688000,0.029549221716891033,0.018837892534144682,-0.010711329182746351
2121584357,0.026011264492322318,0.020285816400092867,-0.005725448092229451
724579447,0.02586972020636182,0.019988877820885327,-0.005880842385476492
1117812916,0.0270980927712274,0.020612317896635445,-0.006485774874591954
