seed,method,condition,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
3389111171,boundary_aware,moderate,0.023467058103920052,0.054094723800362385,0.925,0.0,0.5375,190.95609844926102
3389111171,boundary_aware,strong,0.031124625552126552,0.07630627651989347,0.8125,0.0,0.44,190.891482563096
3389111171,robust_control_aware,moderate,0.01857748315908815,0.034881921675574516,0.99,0.0,0.6,191.62408006675713
3389111171,robust_control_aware,strong,0.024630276462365853,0.0609365987027478,0.91,0.0,0.4975,189.6060820619993
3084139821,boundary_aware,moderate,0.022145990168508732,0.051915603309173546,0.9375,0.0,0.525,197.07080129411935
3084139821,boundary_aware,strong,0.033866447623883245,0.08440398662778198,0.8075,0.0,0.44,193.99121483223857
3084139821,robust_control_aware,moderate,0.01877666914204425,0.03531534190195203,0.9825,0.0,0.6,194.95045093493118
3084139821,robust_control_aware,strong,0.03271191256839632,0.10163770245646556,0.8025,0.0025,0.51,189.66662785767863
2042987557,boundary_aware,moderate,0.024174393727708365,0.056003906280692406,0.9225,0.0,0.5725,189.1322462018448
2042987557,boundary_aware,strong,0.025328796079019437,0.06150241117839932,0.9125,0.0,0.54,182.46122480179562
2042987557,robust_control_aware,moderate,0.01953056036242256,0.039306847112028975,0.9675,0.0,0.62,183.8580165278013
2042987557,robust_control_aware,strong,0.02191957090825186,0.05156528233028872,0.9475,0.0,0.5825,183.29557571215886
3002971205,boundary_aware,moderate,0.022996383257208305,0.05315162386759693,0.93,0.0,0.515,194.5941291628726
3002971205,boundary_aware,strong,0.027848156114578568,0.06854134222265726,0.865,0.0,0.4575,193.03670004468756
3002971205,robust_control_aware,moderate,0.018020460057714592,0.036826511146008656,0.9825,0.0,0.6025,189.7891823881214
3002971205,robust_control_aware,strong,0.01758814511361594,0.040208796485902545,0.9875,0.0,0.5325,190.2001104547105
4027510005,boundary_aware,moderate,0.02460106034941079,0.05816916022576602,0.92,0.0,0.505,196.33915119157257
4027510005,boundary_aware,strong,0.03819830024050105,0.0950710546062024,0.7375,0.0025,0.4375,190.46756571315353
4027510005,robust_control_aware,moderate,0.019084612736358975,0.03871242896393718,0.9725,0.0,0.6075,192.41418395494293
4027510005,robust_control_aware,strong,0.026462995606675047,0.07377449043053678,0.8975,0.0025,0.5275,192.0116704516127
2672624958,boundary_aware,moderate,0.024498401944923573,0.059410043218955884,0.93,0.0,0.53,194.02290888838712
2672624958,boundary_aware,strong,0.04156086316568203,0.09601867367395292,0.7025,0.0,0.4225,197.60534756309772
2672624958,robust_control_aware,moderate,0.019522858947767018,0.03902869924205117,0.985,0.0,0.6075,192.59951571731892
2672624958,robust_control_aware,strong,0.029969435409875286,0.09089878204573368,0.84,0.0,0.515,192.7767780055555
2738655513,boundary_aware,moderate,0.022319661072260417,0.05224053695967548,0.9375,0.0,0.5575,190.814650524324
2738655513,boundary_aware,strong,0.03589528826890849,0.09193587888290189,0.7725,0.0,0.4775,188.02310826740774
2738655513,robust_control_aware,moderate,0.019032238800301176,0.04019169714276689,0.98,0.0,0.6025,188.17218363152506
2738655513,robust_control_aware,strong,0.025921066647967478,0.07385105526822078,0.9,0.0025,0.53,193.04239456091514
829092966,boundary_aware,moderate,0.02272711622945466,0.048742507405247264,0.96,0.0,0.565,194.0614273537006
829092966,boundary_aware,strong,0.031030933474713494,0.07632051223314731,0.8325,0.0,0.4625,187.23707912188235
829092966,robust_control_aware,moderate,0.019146497957586908,0.03893951101558667,0.975,0.0,0.595,189.94918809440657
829092966,robust_control_aware,strong,0.030327784036056498,0.09060858330773465,0.8525,0.0,0.5275,186.90431897177234
2633362063,boundary_aware,moderate,0.022146864847531377,0.051468335354075814,0.945,0.0,0.4975,188.01979256091315
2633362063,boundary_aware,strong,0.027670660306817904,0.07304421057634868,0.88,0.0,0.4575,185.67013214143927
2633362063,robust_control_aware,moderate,0.01865565950384379,0.03804700573864155,0.985,0.0,0.63,187.41769113333382
2633362063,robust_control_aware,strong,0.021865895263816878,0.05246945642662276,0.9425,0.0,0.5825,187.396735672287
962559107,boundary_aware,moderate,0.02348984092604086,0.050398591937405014,0.945,0.0,0.54,196.77236644467814
962559107,boundary_aware,strong,0.035120833982657064,0.08930634170658681,0.7525,0.0,0.4375,189.22300782583343
962559107,robust_control_aware,moderate,0.018775471580888405,0.03625161113625206,0.99,0.0,0.575,191.8726835384253
962559107,robust_control_aware,strong,0.02520655194585272,0.06738165174838873,0.885,0.0,0.5275,192.59232148899548
1093805409,boundary_aware,moderate,0.022575275999400728,0.054677763374046146,0.935,0.0,0.54,198.40536505080792
1093805409,boundary_aware,strong,0.03276150044093689,0.07482984421477264,0.8225,0.0,0.4625,194.22066349624515
1093805409,robust_control_aware,moderate,0.01870463773056575,0.03446120441801625,0.9775,0.0,0.61,194.80156940366828
1093805409,robust_control_aware,strong,0.01964456050581705,0.044341926250563386,0.9625,0.0,0.5575,193.8671905052077
