method,condition,n,stabilization_loss,se_stabilization_loss,survival_steps,se_survival_steps,success_500,se_success_500,action_agreement,se_action_agreement,mean_decision_regret,se_mean_decision_regret,mean_action_gap,se_mean_action_gap,mean_first_divergence_gap
noise_aware_mse,nominal,128,7.076707360264981,0.2732126653530126,211.265625,11.61725826151079,0.078125,0.023813825861573653,0.5945075460906584,0.0026589243340638933,0.017178717506402864,0.0011232945054817423,0.06900492548637677,0.004087602875304315,0.008244012130283685
noise_aware_mse,moderate,128,8.363232590332105,0.22417711730175052,156.515625,9.559567601272672,0.0234375,0.013424675715302162,0.6077538172140268,0.003242566815822986,0.018467226319363497,0.0012553798247551876,0.08367531836010131,0.004976155282693882,0.007827973172629963
noise_aware_mse,strong,128,9.613071186510487,0.139221343854906,103.3125,5.937013034319955,0.0,0.0,0.605210146504219,0.004504344205813686,0.025570585545398955,0.002346808263179528,0.10949869077077998,0.008750926867694825,0.008705852401236508
control_aware_rank,nominal,128,0.8316021529485185,0.21658551137908258,466.640625,8.940720500484865,0.8828125,0.02854125206846796,0.7930615088983133,0.008502590732037817,0.002424540956588491,0.0006101756013494294,0.011124316692481663,0.0022590910254267765,0.004007540814279605
control_aware_rank,moderate,128,2.032467004159585,0.32404243621696927,416.78125,13.425565509119732,0.7265625,0.03955156442885268,0.7840195303083302,0.00628859907845723,0.0032715736699720638,0.0007130597505521795,0.020159794328467567,0.003996449565950996,0.004308586883049038
control_aware_rank,strong,128,6.12419857512166,0.3581157739650493,248.4921875,14.995824534063342,0.1640625,0.032861675748836264,0.713140124372937,0.006199077711621327,0.013583549366054423,0.0016728170097590968,0.05095292684653677,0.003798022549851653,0.004789249837105878
